1 -0 0 0 0 0 0 0 -0 -0 0 0 0 0 -0 0 0 -0 -nan 0 0 0 0 0 0 -0 0 0 -0 -0 0 0 0 0 -0
2 -0 0.854555 -0.056957 -0.0401556 -1.50112 -2.77055 -0.92815 12.1203 -1.54307 0.579953 -3.95088 -3.17407 -1.84222 -2.01306 0.185811 -1.83219 -0.9758 -nan 0.239375 -0.056957 -0.0401556 -1.50112 -2.77055 -0.92815 12.1203 12.344 0.188642 1.42091 0.950038 -0.42426 3.80724 0.0601133 -0.827777 -0.467779
3 -0 -0.442243 0.0484954 -0.00537965 -3.77803 -1.54501 11.8616 -1.05064 -2.65738 -0.370469 -1.35984 -1.50663 -2.19778 -2.04837 -0.00532235 -2.22513 35.0138 -nan -0.185369 0.0484954 -0.00537965 -3.77803 -1.54501 11.8616 -1.05064 -0.865156 -0.160174 -0.596119 -0.502761 0.74041 -0.816399 -0.00192604 4.85766 0.763217
4 -0 0 0 0 0 0 0 0 -0 0 0 0 0 -0 0 0 -0 -nan 0 0 0 0 0 0 0 0 0 -0 -0 0 0 0 0 -0
5 -0 0 0 0 0 0 0 0 -0 0 0 0 0 -0 0 0 -0 -nan 0 0 0 0 0 0 0 0 0 -0 -0 0 0 0 0 -0
6 -0 0 0 0 0 0 0 0 -0 0 0 0 0 -0 0 0 -0 -nan 0 0 0 0 0 0 0 0 0 -0 -0 0 0 0 0 -0
7 -0 0 0 0 0 0 0 0 -0 0 0 0 0 -0 0 0 -0 -nan 0 0 0 0 0 0 0 0 0 -0 -0 0 0 0 0 -0
8 -0 0.632319 -0.680123 -0.668781 -1.30928 -1.31699 -1.67831 0.0136977 -0.0138958 -1.77193 -3.96935 2.39429 1.07691 0.278347 -1.71166 -0.956599 -1.03466 -nan 0.181466 -0.680123 -0.668781 -1.30928 -1.31699 -1.67831 0.0136977 0.0556052 -0.574268 1.55032 -0.814062 0.249684 -0.633459 -0.617304 -0.436777 -0.460646
9 -0 0 0 0 -0 -0 -0 0 -0 -0 -0 0 0 -0 -0 0 0 -nan 0 0 0 -0 -0 -0 0 0 0 -0 -0 0 0 0 0 -0
10 -0 0 0 0 -0 -0 -0 0 -0 -0 -0 0 0 -0 -0 0 0 -nan 0 0 0 -0 -0 -0 0 0 0 -0 -0 0 0 0 0 -0
