0.01 -5.51557 -6.57739 4.57888 0.171188 -1.06803 -2.26122 -5.51557 -6.57744 4.57888 0.171188 -1.06803 -2.2612 -5.51557 -6.57744 4.57888 0.171188 -1.06803 -2.26121 -5.51557 -6.57744 4.57888 0.171188 -1.06803 -2.26121 -5.51557 -6.57744 4.57888 0.171188 -1.06803 -2.2612 -5.51557 -6.57739 4.57888 0.171188 -1.06803 -2.26122 -5.51557 -6.57737 4.57888 0.171188 -1.06803 -2.26113 -5.51557 -6.57733 4.57888 0.171188 -1.06803 -2.2611 -5.51557 -6.57732 4.57888 0.171188 -1.06803 -2.26106 -5.51557 -6.57732 4.57888 0.171188 -1.06803 -2.26106
0.06 -5.90506 -6.39069 4.66705 0.199697 -1.19898 -2.47174 -5.90506 -6.41656 4.66706 0.199536 -1.19898 -2.47116 -5.90506 -6.42104 4.66704 0.19951 -1.19898 -2.47479 -5.90506 -6.42105 4.66704 0.19951 -1.19898 -2.4748 -5.90506 -6.41659 4.66706 0.199536 -1.19898 -2.4712 -5.90506 -6.39071 4.66706 0.199698 -1.19898 -2.47175 -5.90506 -6.37914 4.6673 0.199771 -1.19898 -2.43335 -5.90506 -6.3544 4.66742 0.199929 -1.19899 -2.41183 -5.90506 -6.34436 4.66754 0.199989 -1.19899 -2.39229 -5.90506 -6.34435 4.66754 0.19999 -1.19899 -2.39226
0.11 -6.27747 -6.42513 4.74094 0.227242 -1.32381 -2.9583 -6.27747 -6.57238 4.7409 0.225348 -1.32376 -2.96237 -6.27747 -6.60841 4.74059 0.224906 -1.32375 -2.98122 -6.27747 -6.60903 4.74059 0.224902 -1.32375 -2.98159 -6.27747 -6.57386 4.74089 0.225339 -1.32376 -2.96374 -6.27747 -6.42658 4.74102 0.227262 -1.32382 -2.95993 -6.27754 -6.35571 4.74426 0.228299 -1.32384 -2.75361 -6.27758 -6.22248 4.74616 0.230264 -1.32389 -2.62711 -6.27761 -6.1611 4.7477 0.231199 -1.32392 -2.51711 -6.27761 -6.16093 4.74775 0.231226 -1.32392 -2.5168
0.16 -6.63317 -6.69049 4.78591 0.248292 -1.44255 -3.74626 -6.63316 -7.07577 4.7854 0.241758 -1.44225 -3.76365 -6.63311 -7.19407 4.7838 0.23993 -1.44217 -3.80841 -6.63311 -7.19978 4.78373 0.239889 -1.44217 -3.81203 -6.63315 -7.0896 4.78518 0.24166 -1.44225 -3.77679 -6.63318 -6.70538 4.78628 0.248357 -1.44256 -3.76446 -6.63367 -6.51471 4.80286 0.252602 -1.44274 -3.24818 -6.63396 -6.18457 4.81242 0.260288 -1.44307 -2.91797 -6.63418 -6.02971 4.81935 0.264408 -1.44324 -2.63684 -6.63419 -6.02902 4.81967 0.264603 -1.44324 -2.63557
0.21 -6.97136 -7.08224 4.78018 0.259994 -1.5549 -4.70292 -6.9713 -7.79925 4.77814 0.247374 -1.55398 -4.73705 -6.9711 -8.06406 4.77347 0.243471 -1.55372 -4.81076 -6.97108 -8.09153 4.77287 0.243315 -1.55372 -4.82913 -6.97125 -7.86608 4.77616 0.246965 -1.55396 -4.80203 -6.97139 -7.15666 4.78017 0.259943 -1.55491 -4.79602 -6.97347 -6.8011 4.83199 0.2698 -1.55554 -3.87301 -6.97465 -6.21367 4.86242 0.287873 -1.55669 -3.26315 -6.97547 -5.94185 4.8823 0.298565 -1.55732 -2.74846 -6.97551 -5.94012 4.88353 0.299271 -1.55735 -2.74525
0.26 -7.29029 -7.4401 4.71688 0.263949 -1.66054 -5.6361 -7.29007 -8.533 4.7129 0.246071 -1.65863 -5.67441 -7.28953 -9.00792 4.70477 0.240188 -1.65806 -5.76616 -7.28944 -9.09324 4.70248 0.239855 -1.65804 -5.82446 -7.28979 -8.74006 4.70545 0.245113 -1.65857 -5.88106 -7.29026 -7.67316 4.71394 0.263271 -1.66052 -5.93774 -7.29628 -7.14752 4.82026 0.279842 -1.662 -4.56494 -7.29979 -6.28223 4.89197 0.311729 -1.66478 -3.63379 -7.30203 -5.88928 4.93629 0.332469 -1.66645 -2.84787 -7.30217 -5.88597 4.93966 0.334244 -1.66656 -2.84156
0.31 -7.58826 -7.63168 4.61608 0.26353 -1.75933 -6.40307 -7.58778 -9.08553 4.61127 0.241705 -1.7562 -6.41228 -7.58673 -9.8156 4.60137 0.234204 -1.75521 -6.487 -7.58644 -10.0045 4.59647 0.233685 -1.75516 -6.61165 -7.58686 -9.53725 4.59587 0.24007 -1.75606 -6.87326 -7.58795 -8.13659 4.60966 0.261489 -1.75923 -7.101 -7.60098 -7.48846 4.76531 0.284483 -1.76198 -5.27049 -7.60931 -6.36893 4.89785 0.331497 -1.76733 -4.00344 -7.61432 -5.8666 4.98105 0.364993 -1.77082 -2.93041 -7.61468 -5.86125 4.98857 0.368542 -1.77111 -2.91982
0.36 -7.86447 -7.6214 4.49971 0.261571 -1.85142 -6.96266 -7.86371 -9.38084 4.49549 0.236298 -1.8469 -6.90009 -7.86206 -10.3843 4.48577 0.227401 -1.84543 -6.90042 -7.86139 -10.712 4.47802 0.226707 -1.84534 -7.09182 -7.8616 -10.1415 4.47262 0.233897 -1.84663 -7.67715 -7.86372 -8.44602 4.4926 0.257293 -1.85112 -8.21685 -7.88641 -7.76181 4.67736 0.285863 -1.85547 -5.95837 -7.90297 -6.45434 4.87948 0.347517 -1.86432 -4.35335 -7.91271 -5.86956 5.01651 0.395179 -1.87055 -2.99208 -7.91352 -5.86188 5.03097 0.401244 -1.87117 -2.97612
0.41 -8.11881 -7.45066 4.37915 0.260051 -1.93712 -7.34731 -8.11785 -9.45062 4.37663 0.230761 -1.93106 -7.17969 -8.11564 -10.725 4.3687 0.220473 -1.92905 -7.04683 -8.11435 -11.2097 4.35826 0.219599 -1.92892 -7.26954 -8.11401 -10.5294 4.34793 0.227426 -1.93063 -8.24369 -8.11766 -8.54832 4.37432 0.252363 -1.93645 -9.23192 -8.15184 -7.91536 4.57113 0.285757 -1.94264 -6.61774 -8.18051 -6.51697 4.83934 0.360611 -1.95578 -4.67657 -8.19757 -5.89243 5.04291 0.422341 -1.96567 -3.03207 -8.19915 -5.88232 5.06763 0.431578 -1.96683 -3.00975
0.46 -8.35156 -7.18101 4.25915 0.260528 -2.01686 -7.61009 -8.35054 -9.36512 4.25917 0.225595 -2.00907 -7.32154 -8.34793 -10.8968 4.25464 0.213693 -2.00646 -7.01352 -8.34581 -11.5455 4.2419 0.212606 -2.00627 -7.21199 -8.34447 -10.7434 4.22622 0.221005 -2.0084 -8.57472 -8.35023 -8.44743 4.2583 0.247716 -2.01556 -10.1171 -8.39702 -7.91811 4.45792 0.285484 -2.02377 -7.25044 -8.44175 -6.53459 4.78166 0.371937 -2.04182 -4.97787 -8.46922 -5.92671 5.06082 0.446185 -2.05621 -3.05425 -8.47201 -5.91436 5.09934 0.459062 -2.05815 -3.02475
