0.01 0.0930237 0.104645 0.901676 0.100498 0.897548 0.897479 0.0930237 0.10464 0.901676 0.100498 0.897548 0.897481 0.0930237 0.10464 0.901676 0.100498 0.897548 0.89748 0.0930237 0.10464 0.901676 0.100498 0.897548 0.89748 0.0930237 0.10464 0.901676 0.100498 0.897548 0.897481 0.0930237 0.104645 0.901676 0.100498 0.897548 0.897479 0.0930237 0.104647 0.901676 0.100498 0.897548 0.897487 0.0930237 0.104651 0.901676 0.100498 0.897548 0.89749 0.0930237 0.104651 0.901676 0.100498 0.897548 0.897493 0.0930237 0.104651 0.901676 0.100498 0.897548 0.897493
0.06 0.0649641 0.123473 0.909221 0.103105 0.884864 0.876425 0.0649641 0.1207 0.909222 0.10309 0.884864 0.876487 0.0649641 0.120226 0.90922 0.103087 0.884864 0.876094 0.0649641 0.120224 0.90922 0.103087 0.884864 0.876093 0.0649641 0.120697 0.909222 0.10309 0.884864 0.876484 0.0649641 0.12347 0.909221 0.103105 0.884864 0.876424 0.0649639 0.124728 0.909241 0.103111 0.884864 0.880523 0.0649638 0.127454 0.909252 0.103126 0.884864 0.882769 0.0649638 0.128575 0.909261 0.103132 0.884864 0.884776 0.0649638 0.128576 0.909261 0.103132 0.884864 0.884778
0.11 0.0456875 0.119794 0.915138 0.10568 0.871523 0.813428 0.0456875 0.105115 0.915135 0.105501 0.871529 0.81281 0.0456878 0.101774 0.915111 0.105459 0.87153 0.809924 0.0456878 0.101718 0.915111 0.105459 0.87153 0.809869 0.0456875 0.104976 0.915134 0.1055 0.871529 0.812601 0.0456874 0.119641 0.915144 0.105682 0.871523 0.813181 0.0456845 0.127309 0.915396 0.10578 0.87152 0.842524 0.0456828 0.14286 0.915543 0.105966 0.871514 0.858591 0.0456813 0.150542 0.915662 0.106054 0.871512 0.871427 0.0456813 0.150563 0.915665 0.106057 0.871512 0.871462
0.16 0.0324565 0.094512 0.918566 0.107686 0.857631 0.664739 0.0324568 0.0662964 0.918528 0.10706 0.857668 0.660852 0.0324583 0.0593383 0.918408 0.106885 0.857678 0.650748 0.0324583 0.0590205 0.918403 0.106881 0.857678 0.649926 0.0324569 0.0654454 0.918511 0.10705 0.857669 0.6579 0.0324561 0.0932456 0.918593 0.107692 0.857631 0.66067 0.0324406 0.110665 0.919825 0.108101 0.857609 0.765408 0.0324316 0.147566 0.920527 0.108844 0.857568 0.819472 0.0324247 0.168126 0.921032 0.109244 0.857548 0.857406 0.0324245 0.168223 0.921056 0.109263 0.857547 0.85756
0.21 0.0233608 0.0658971 0.918136 0.108815 0.843354 0.432372 0.0233624 0.0332944 0.917983 0.107598 0.843476 0.424015 0.0233669 0.0257478 0.917631 0.107223 0.84351 0.406122 0.0233672 0.0250677 0.917585 0.107208 0.843511 0.401699 0.0233634 0.0312093 0.917833 0.107558 0.843479 0.408229 0.0233601 0.0614615 0.918135 0.10881 0.843354 0.409683 0.0233128 0.0854612 0.921947 0.10977 0.843271 0.635928 0.023286 0.143943 0.924109 0.111549 0.843119 0.76271 0.0232674 0.180775 0.925491 0.112613 0.843035 0.843207 0.0232664 0.181032 0.925576 0.112683 0.84303 0.84363
0.26 0.0170906 0.0470049 0.913251 0.1092 0.828889 0.230524 0.0170944 0.0162663 0.912935 0.107473 0.829158 0.223798 0.0171035 0.0101792 0.912286 0.10691 0.829239 0.208265 0.0171049 0.00935447 0.912103 0.106878 0.829242 0.198814 0.017099 0.0132644 0.912341 0.107381 0.829167 0.189953 0.0170912 0.0376003 0.913018 0.109134 0.828891 0.181384 0.0169903 0.0619906 0.921099 0.110755 0.82868 0.466501 0.0169317 0.135698 0.926156 0.113935 0.828285 0.689322 0.0168945 0.188692 0.92913 0.116046 0.828048 0.829611 0.0168922 0.189199 0.929351 0.116228 0.828032 0.830501
0.31 0.0127429 0.0391303 0.904926 0.109159 0.814418 0.12214 0.012749 0.00942626 0.90451 0.107055 0.814891 0.121156 0.0127622 0.00456456 0.903652 0.10634 0.81504 0.113422 0.0127658 0.00378188 0.903225 0.10629 0.815047 0.101478 0.0127605 0.00602076 0.903172 0.106898 0.814912 0.0799878 0.0127468 0.0239896 0.904372 0.10896 0.814433 0.0647516 0.0125839 0.0448854 0.917011 0.111213 0.814017 0.301587 0.0124808 0.125848 0.926556 0.115946 0.813205 0.60523 0.0124192 0.192188 0.932021 0.119424 0.812675 0.817624 0.0124147 0.193019 0.932496 0.119797 0.81263 0.819198
0.36 0.00969734 0.0395188 0.89443 0.108968 0.800094 0.0736504 0.00970462 0.00703293 0.894032 0.106539 0.800817 0.0780354 0.00972044 0.0025899 0.893107 0.105695 0.801051 0.0780111 0.00972695 0.00186764 0.892365 0.105629 0.801065 0.0653092 0.00972485 0.00329939 0.891845 0.10631 0.800859 0.0374562 0.00970451 0.0177183 0.893757 0.108554 0.800142 0.0221806 0.00948886 0.0345205 0.910068 0.11135 0.799447 0.178341 0.0093345 0.116748 0.925296 0.117598 0.798023 0.519339 0.00924478 0.191728 0.934233 0.122635 0.797018 0.808247 0.00923737 0.192921 0.935116 0.123289 0.796917 0.810709
0.41 0.00753594 0.046534 0.882493 0.108821 0.786034 0.0513407 0.00754318 0.006562 0.882232 0.106013 0.787051 0.060146 0.0075597 0.00184346 0.881405 0.105042 0.787388 0.0681099 0.00756937 0.00113618 0.88031 0.10496 0.78741 0.0552632 0.00757197 0.00224093 0.879217 0.105697 0.787124 0.0216059 0.00754456 0.016023 0.881991 0.108078 0.786147 0.00815302 0.00729292 0.0297532 0.900986 0.111339 0.785105 0.100924 0.00708826 0.110443 0.922474 0.118964 0.782879 0.438851 0.00696921 0.18821 0.935837 0.125587 0.781193 0.801974 0.00695827 0.189759 0.937306 0.126605 0.780995 0.805493
0.46 0.00598046 0.0600713 0.869467 0.108867 0.772318 0.0399505 0.00598658 0.00714351 0.869469 0.105524 0.773685 0.0526104 0.00600209 0.00155296 0.868955 0.104406 0.774141 0.0702553 0.00601479 0.000812349 0.867497 0.104304 0.774174 0.0583458 0.00602278 0.00180998 0.865685 0.105092 0.773802 0.015612 0.0059884 0.0176937 0.869371 0.10763 0.772546 0.00338047 0.0057162 0.0296737 0.890419 0.111312 0.7711 0.0562687 0.00546755 0.108723 0.918247 0.120156 0.767899 0.366532 0.00532019 0.183028 0.936904 0.128229 0.765325 0.798428 0.00530541 0.184882 0.939144 0.129676 0.764977 0.803132
