0.26 -4.49949 2.14113e-06 0.00565461 0.00665214 0.00188825 0 0.278564 0.99185 1.21826e-20 1 1 3.30843e-06 0.99998 4.65934e-05 6.80104e-07 0.999572 0.996447 0.00158384 
0.27 -4.49947 2.26711e-06 0.00518287 0.00670397 0.00187916 0 0.289278 0.988211 3.88255e-22 1 1 2.45826e-06 0.999993 5.06673e-05 7.08465e-07 0.999665 0.996801 0.00159618 
0.28 -4.49946 2.39337e-06 0.00477851 0.00675175 0.00187008 0 0.299991 0.982718 1.1107e-23 1 1 1.80656e-06 0.999997 5.50456e-05 7.37945e-07 0.999736 0.997096 0.00160756 
0.29 -4.49944 2.51984e-06 0.00443338 0.00679608 0.00186101 0 0.310705 0.974352 2.85545e-25 1 1 1.31327e-06 0.999999 5.97372e-05 7.68594e-07 0.999791 0.997341 0.00161812 
0.3 -4.49942 2.64647e-06 0.00414135 0.0068375 0.00185195 0 0.321418 0.961529 6.6053e-27 1 1 9.44506e-07 1 6.47427e-05 8.00468e-07 0.999834 0.997545 0.00162798 
0.31 -4.4994 2.7732e-06 0.00389848 0.00687648 0.00184291 0 0.332132 0.941836 1.37672e-28 1 1 6.72221e-07 1 7.00486e-05 8.33634e-07 0.999867 0.997712 0.00163726 
0.32 -4.49938 2.89998e-06 0.00370325 0.00691352 0.00183388 0 0.342846 0.911734 2.58956e-30 1 1 4.73622e-07 1 7.56175e-05 8.68171e-07 0.999892 0.997846 0.00164608 
0.33 -4.49936 3.02679e-06 0.00355719 0.00694909 0.00182487 0 0.353559 0.866426 4.40411e-32 1 1 3.30516e-07 1 8.13731e-05 9.04188e-07 0.999912 0.997946 0.00165454 
0.34 -4.49935 3.15361e-06 0.00346567 0.00698374 0.00181588 0 0.364273 0.800346 6.78821e-34 1 1 2.28622e-07 1 8.71811e-05 9.41822e-07 0.999927 0.998012 0.0016628 
0.35 -4.49933 3.28042e-06 0.00343893 0.00701813 0.00180691 0 0.374986 0.709049 9.50927e-36 1 1 1.56909e-07 1 9.28306e-05 9.81256e-07 0.999938 0.998038 0.00167098 
0.36 -4.49931 3.40851e-06 0.0034928 0.00705306 0.00181608 0 0.3857 0.592941 1.2146e-37 1 1 1.06982e-07 1 9.80334e-05 1.02272e-06 0.999947 0.998017 0.0016793 
0.37 -4.49929 3.53791e-06 0.00364815 0.00708954 0.00182528 0 0.396413 0.461089 1.41899e-39 1 1 7.25473e-08 1 0.000102466 1.06646e-06 0.999953 0.997937 0.00168799 
0.38 -4.49927 3.66869e-06 0.00392834 0.00712883 0.00183451 0 0.407127 0.330521 1.51978e-41 1 1 4.89679e-08 1 0.000105866 1.11271e-06 0.999957 0.997786 0.00169734 
0.39 -4.49925 3.80093e-06 0.00435514 0.00717238 0.00184377 0 0.41784 0.218676 1.49322e-43 1 1 3.28975e-08 1 0.000108141 1.16163e-06 0.99996 0.997553 0.00170771 
0.4 -4.49924 3.93475e-06 0.00494555 0.00722183 0.00185308 0 0.428553 0.134913 1.3446e-45 1 1 2.19785e-08 1 0.000109399 1.21327e-06 0.999961 0.997228 0.00171948 
0.41 -4.49922 4.07032e-06 0.00571201 0.00727895 0.00186243 0 0.439267 0.0787413 1.10763e-47 1 1 1.4583e-08 1 0.000109874 1.26762e-06 0.999962 0.996806 0.00173308 
0.42 -4.4992 4.20781e-06 0.00666526 0.00734561 0.00187184 0 0.44998 0.0440722 8.33223e-50 1 1 9.59757e-09 1 0.00010982 1.32463e-06 0.999963 0.996279 0.00174895 
0.43 -4.49918 4.34748e-06 0.00781759 0.00742378 0.0018813 0 0.460693 0.0239039 5.71716e-52 1 1 6.25903e-09 1 0.000109442 1.3843e-06 0.999963 0.995643 0.00176757 
0.44 -4.49916 4.48958e-06 0.00918493 0.00751563 0.00189083 0 0.471407 0.012652 3.57626e-54 1 1 4.04207e-09 1 0.000108882 1.44665e-06 0.999963 0.994887 0.00178944 
0.45 -4.49914 4.63446e-06 0.0107876 0.00762351 0.00190043 0 0.48212 0.00656321 2.03943e-56 1 1 2.58393e-09 1 0.000108224 1.51173e-06 0.999963 0.994002 0.00181512 
0.46 -4.49912 4.78249e-06 0.0126506 0.00775001 0.00191012 0 0.492833 0.00334544 1.06066e-58 1 1 1.63474e-09 1 0.000107519 1.57961e-06 0.999964 0.992973 0.00184524 
0.47 -4.4991 4.93413e-06 0.0148032 0.00789805 0.0019199 0 0.503547 0.00167802 5.03363e-61 1 1 1.02344e-09 1 0.000106795 1.65038e-06 0.999964 0.991784 0.00188049 
0.48 -4.49908 5.08987e-06 0.0172786 0.00807083 0.00192978 0 0.51426 0.000828902 2.18132e-63 1 1 6.34029e-10 1 0.000106066 1.72414e-06 0.999964 0.990416 0.00192163 
0.49 -4.49907 5.25033e-06 0.020114 0.00827197 0.00193977 0 0.524973 0.000403427 8.63807e-66 1 1 3.88672e-10 1 0.00010534 1.80101e-06 0.999965 0.98885 0.00196952 
0.5 -4.49905 5.41618e-06 0.0233499 0.00850547 0.00194989 0 0.535686 0.000193506 3.12832e-68 1 1 2.35773e-10 1 0.00010462 1.88109e-06 0.999966 0.987062 0.00202511 
0.51 -4.49903 5.58819e-06 0.0270302 0.00877577 0.00196016 0 0.546399 9.14856e-05 1.03693e-70 1 1 1.41531e-10 1 0.000103909 1.96453e-06 0.999966 0.985029 0.00208947 
0.52 -4.49901 5.76727e-06 0.0312016 0.00908779 0.00197059 0 0.557112 4.26366e-05 3.14826e-73 1 1 8.4075e-11 1 0.000103207 2.05144e-06 0.999967 0.982725 0.00216376 
0.53 -4.49899 5.95443e-06 0.0359134 0.00944692 0.00198119 0 0.567826 1.95889e-05 8.76242e-76 1 1 4.94262e-11 1 0.000102515 2.14195e-06 0.999968 0.980122 0.00224927 
0.54 -4.49897 6.15082e-06 0.0412171 0.00985909 0.001992 0 0.578539 8.87276e-06 2.23744e-78 1 1 2.87565e-11 1 0.000101832 2.23622e-06 0.999969 0.977192 0.0023474 
