10

4.087389946616990954453285667114 1.101088561477351790429679567751 0.21852542959785670184658101788955 3.6568986329970041282422243966721 2.9817272565554544527799407660495 2.7077347394443687100817896862281 1.3346000894944660686292081663851 3.9285791438878518988531141076237 0.28672685453393165211366522271419 0.28672685453393165211366522271419 

9.0927613957637944963607878889889 2.6878339392907966143297926464584 -2.4335649517790223228530521737412 11.010786089953127131479959643912 -8.6307905189315334837374393828213 -1.8021941695083203427429907605983 -10.942308397965419430875044781715 -14.961366969366739709812463843264 -3.6834754023253966082052102137823 -3.6834754023253966082052102137823 

1 1 1 1 1 1 1 1 1 1 

9.1518617105833701685924097546376 -10.269156286542450828846995136701 -11.506410139681841897640879324172 -11.677484500714237825036434514914 -14.058101882036243779339201864786 -9.036477698988662154988560359925 11.38372460899172189385808451334 -2.0337926379846620328351036732784 6.3234804351632991625820068293251 6.3234804351632991625820068293251 
-3.8790642040295617576362019462977 11.321884372451417988258981495164 8.8000607753932680310526848188601 -7.4137049847378051481427974067628 -5.3591819911332887471644426113926 -3.1843333797181347932792050414719 -14.958361817252486147822310158517 -8.1726799143019484006345010129735 12.440173944012293816285819048062 12.440173944012293816285819048062 
10.524950429793076267515061772428 2.4447871675441845695786469150335 8.3280714944722937786991678876802 1.7560224766783378846923824312398 -0.90289719143260505074266575320507 -7.3001602363308464305191591847688 3.8170634788129880199392118811375 -4.5292038427205767447958351112902 13.12797622130479524571455840487 13.12797622130479524571455840487 
7.37301672847179823122587549733 -14.356313054139308249546047591139 7.0551178056736407739890637458302 -6.2148584406613993635914994229097 13.097277930889493546828816761263 9.2908474881894083097222392098047 -12.569662337410058228215348208323 11.013858737483051442040959955193 5.3223220414459717630961677059531 5.3223220414459717630961677059531 
-6.8030150250965295555261036497541 6.3847501089367293403142866736744 -2.3366850755710593112723927333718 -12.002142078573250216777523746714 -5.6998344171815000791525562817696 -12.057478783268710031961745698936 8.5308202798885872653045225888491 -8.6064733421562618076450235093944 -12.952128914017016825255268486217 -12.952128914017016825255268486217 
-5.7107028254889815599426583503373 9.2278736765827531485228973906487 -6.5213799656215600819564315315802 -4.7358792316480453621352353366092 7.1883660485527398620320127520245 -7.7118818890262135212765315372963 9.6175290197250209445201107882895 12.343117149682845123948027321603 -5.2023029731446728263222212262917 -5.2023029731446728263222212262917 
0 0 0 0 0 0 -3.8143677892692937625440663396148 -2.2549495283304246129318926250562 0 0 
0 0 0 0 0 0 -12.105974275679093565827315615024 -2.8255522894913798204186150542228 0 0 
0 0 0 0 0 0 0 0 -4.1215293343801207015530962962657 0 
0 0 0 0 0 0 0 0 0 -4.1215293343801207015530962962657 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
