50.01 -3.57499 -9.58223 3.67298 3.76055 2.50079 -4.69583 -10.7717 3.57841 -11.176 -2.19094 10.18 3.5035 -6.51664 -3.11062 0.487818 -8.7608 -5.35336 4.19486 0.269996 -3.42792 3.37062 -5.67913 -7.29233 -4.43489 -1.32775 -1.41095 -1.8942 -0.480652 -8.44337 -7.1151 -3.21467 -2.37402 -0.518221 -0.785738 -6.32509 -4.51963 -8.8441 0.462019 4.84425 2.80571 -4.1156 -9.81198 2.37786 -12.4929 -1.14289 5.34971 2.96628 -7.26768 -3.83882
50.06 -4.59807 -8.92625 3.44849 3.20041 2.0672 -4.40811 -10.9823 3.32942 -11.2505 -1.91734 10.1003 3.6956 -6.41775 -3.98395 1.4222 -9.20397 -4.97772 4.91699 0.708625 -3.84703 3.09195 -5.28784 -7.30605 -4.59326 -0.851375 -1.39506 -2.05588 0.34031 -8.29149 -7.12953 -3.46786 -2.71229 -0.690838 -0.630174 -5.84027 -5.38574 -8.30936 0.312769 4.04839 2.33749 -3.90428 -9.76232 2.03261 -12.5833 -0.984571 4.99273 3.03215 -7.36345 -4.74957
50.11 -5.53348 -8.35737 3.0423 2.503 1.64132 -4.05699 -11.0776 2.98863 -11.3053 -1.63254 9.79984 3.86238 -6.26642 -4.94993 2.16429 -9.59151 -4.58902 5.62901 1.10839 -4.31284 2.69644 -4.88315 -7.32394 -4.78959 -0.383278 -1.35864 -2.20499 1.10141 -8.10581 -7.14807 -3.67974 -2.96201 -0.846492 -0.576807 -5.3552 -6.15431 -7.89801 0.0174589 3.16941 1.88802 -3.64043 -9.61623 1.70514 -12.6588 -0.818823 4.48923 3.07184 -7.43912 -5.67268
50.16 -6.38906 -7.91982 2.45526 1.71497 1.24561 -3.64406 -11.0478 2.56854 -11.3432 -1.33023 9.35199 3.99903 -6.09013 -5.92735 2.73655 -9.92285 -4.2179 6.32576 1.46651 -4.7758 2.22165 -4.45926 -7.34965 -5.01023 0.0863167 -1.30128 -2.34105 1.76884 -7.88792 -7.1685 -3.85311 -3.11438 -0.985721 -0.616412 -4.86118 -6.82592 -7.60291 -0.372561 2.27608 1.46936 -3.31808 -9.37794 1.38553 -12.7183 -0.637295 3.93721 3.08341 -7.49567 -6.53242
50.21 -7.16931 -7.60769 1.74621 0.909777 0.887112 -3.18465 -10.8946 2.0891 -11.3652 -1.00944 8.86257 4.1037 -5.90716 -6.84229 3.16523 -10.2057 -3.87317 6.99927 1.7899 -5.20256 1.69991 -4.00737 -7.38888 -5.23328 0.575155 -1.22038 -2.46596 2.32931 -7.63657 -7.18928 -3.99291 -3.15758 -1.10825 -0.725621 -4.34639 -7.38564 -7.39953 -0.803749 1.41659 1.08803 -2.94297 -9.05613 1.06352 -12.7598 -0.434504 3.40062 3.06759 -7.534 -7.28758
50.26 -7.86361 -7.39495 0.989704 0.135867 0.566177 -2.70296 -10.6308 1.57116 -11.3698 -0.675616 8.39132 4.17651 -5.72701 -7.66205 3.46973 -10.4477 -3.55427 7.63926 2.08634 -5.57538 1.15478 -3.51053 -7.45112 -5.43448 1.1033 -1.10985 -2.58428 2.77985 -7.35168 -7.20927 -4.10547 -3.0789 -1.21304 -0.879051 -3.7971 -7.81826 -7.26281 -1.24111 0.613629 0.746017 -2.53249 -8.66544 0.729182 -12.7799 -0.20992 2.90148 3.02568 -7.55499 -7.92452
50.31 -8.4556 -7.2543 0.240514 -0.583324 0.279788 -2.22441 -10.2768 1.03005 -11.3527 -0.338947 7.95475 4.21706 -5.55352 -8.37984 3.66451 -10.6544 -3.25782 8.23589 2.36199 -5.88559 0.601908 -2.93737 -7.55337 -5.58834 1.68668 -0.957936 -2.70403 3.12084 -7.03638 -7.2277 -4.19809 -2.87112 -1.29845 -1.05714 -3.20013 -8.11669 -7.17286 -1.66782 -0.122555 0.441566 -2.10968 -8.2246 0.371793 -12.7728 0.0316335 2.44106 2.95791 -7.55905 -8.44087
50.36 -8.92443 -7.16403 -0.476381 -1.23719 0.0235516 -1.76947 -9.85516 0.47021 -11.3045 -0.0112496 7.54831 4.22242 -5.38743 -8.99534 3.76083 -10.8297 -2.98032 8.78116 2.62122 -6.12718 0.0497747 -2.23501 -7.72644 -5.66464 2.32883 -0.743756 -2.83898 3.35132 -6.69686 -7.24419 -4.27912 -2.54322 -1.36269 -1.24761 -2.54599 -8.2841 -7.1154 -2.07738 -0.7867 0.170756 -1.69591 -7.75263 -0.0238409 -12.7291 0.281628 2.01381 2.86226 -7.54571 -8.83813
50.41 -9.24386 -7.10851 -1.16161 -1.82152 -0.206996 -1.35133 -9.38731 -0.119238 -11.2087 0.296716 7.15776 4.18505 -5.22796 -9.50586 3.76676 -10.976 -2.71921 9.26819 2.86678 -6.29164 -0.500773 -1.33853 -8.0151 -5.62452 3.01706 -0.438013 -3.01329 3.46411 -6.34062 -7.25881 -4.35884 -2.126 -1.40449 -1.44345 -1.82808 -8.33393 -7.08071 -2.46651 -1.37572 -0.0709711 -1.30667 -7.26565 -0.485034 -12.6322 0.530378 1.61329 2.73277 -7.51271 -9.12001
50.46 -9.38586 -7.07715 -1.83211 -2.33541 -0.415735 -0.976917 -8.89147 -0.769855 -11.037 0.576075 6.76333 4.09005 -5.07355 -9.9037 3.68551 -11.0943 -2.47306 9.68919 3.10019 -6.36696 -1.05842 -0.26902 -8.43143 -5.43614 3.73001 -0.033479 -3.2635 3.44252 -5.97403 -7.27215 -4.45109 -1.66199 -1.4237 -1.64014 -1.04388 -8.28785 -7.06253 -2.83108 -1.88725 -0.287814 -0.951022 -6.77514 -1.06642 -12.4512 0.769013 1.23411 2.55594 -7.45437 -9.29201
50.51 -9.33384 -7.06317 -2.50809 -2.77964 -0.605755 -0.649075 -8.38201 -1.53931 -10.7434 0.818289 6.34127 3.91153 -4.92153 -10.1773 3.51576 -11.1866 -2.24118 10.032 3.32184 -6.34875 -1.64509 0.777537 -8.89512 -5.12203 4.44835 0.414058 -3.6154 3.27197 -5.59909 -7.28532 -4.57245 -1.1873 -1.42121 -1.83367 -0.220073 -8.17095 -7.05739 -3.16506 -2.31853 -0.483154 -0.633153 -6.28727 -1.8749 -12.1282 0.990004 0.87165 2.30464 -7.3576 -9.35946
50.56 -9.10698 -7.06266 -3.19464 -3.15603 -0.77937 -0.369537 -7.86955 -2.48778 -10.2754 1.01004 5.86445 3.61768 -4.76662 -10.3166 3.2592 -11.2565 -2.02285 10.2741 3.53095 -6.25407 -2.29956 1.64828 -9.32359 -4.75132 5.15953 0.841587 -4.04857 2.96396 -5.21312 -7.3001 -4.73373 -0.720357 -1.3983 -2.01985 0.583081 -8.00454 -7.06429 -3.46145 -2.66552 -0.659421 -0.354467 -5.80254 -3.04088 -11.5887 1.18553 0.520461 1.94531 -7.19307 -9.32211
50.61 -8.77287 -7.07315 -3.86793 -3.46698 -0.938233 -0.142975 -7.3612 -3.56489 -9.6481 1.12342 5.30044 3.20936 -4.59846 -10.3208 2.92765 -11.3079 -1.81608 10.3729 3.72516 -6.11264 -3.06652 2.32918 -9.69425 -4.37749 5.85693 1.2274 -4.51224 2.55423 -4.81185 -7.31916 -4.93126 -0.261044 -1.35568 -2.19457 1.31343 -7.79922 -7.083 -3.71399 -2.9219 -0.818106 -0.116164 -5.31632 -4.4587 -10.8658 1.34287 0.174468 1.50496 -6.91259 -9.17028
50.66 -8.41146 -7.09174 -4.48713 -3.71507 -1.08347 0.018508 -6.86079 -4.60336 -8.98811 1.11266 4.61257 2.74301 -4.40194 -10.2031 2.53878 -11.3433 -1.6164 10.267 3.8999 -5.94999 -3.96036 2.84774 -10.0109 -4.02342 6.53434 1.57314 -4.96115 2.0824 -4.39016 -7.34636 -5.14848 0.203113 -1.29261 -2.3548 1.94434 -7.55473 -7.11083 -3.91957 -3.07837 -0.959795 0.0778342 -4.81993 -5.80146 -10.1151 1.44013 -0.169454 1.072 -6.48678 -8.90038
50.71 -8.0662 -7.11505 -5.02155 -3.90214 -1.21582 0.0970481 -6.36899 -5.53029 -8.41362 0.940114 3.79161 2.27171 -4.16149 -9.98348 2.10862 -11.3641 -1.41685 9.93275 4.04844 -5.78178 -4.94134 3.22902 -10.2815 -3.69457 7.18326 1.8864 -5.36763 1.57966 -3.9388 -7.3877 -5.36299 0.690682 -1.20602 -2.50005 2.4667 -7.26942 -7.1434 -4.08015 -3.1227 -1.0842 0.219083 -4.30158 -6.92562 -9.43287 1.44748 -0.512892 0.691041 -5.9391 -8.5307
50.76 -7.74029 -7.14057 -5.46114 -4.02816 -1.33565 0.0814961 -5.88328 -6.35754 -7.9702 0.614218 2.89238 1.8207 -3.86492 -9.67912 1.64836 -11.3697 -1.20917 9.44571 4.16441 -5.61565 -5.92433 3.49148 -10.5131 -3.38953 7.79497 2.17448 -5.71804 1.06627 -3.43945 -7.45324 -5.55126 1.22142 -1.08927 -2.63363 2.87954 -6.94745 -7.17722 -4.20198 -3.04214 -1.19019 0.295704 -3.74751 -7.83017 -8.85602 1.33758 -0.860061 0.366309 -5.32308 -8.09223
50.81 -7.41912 -7.16678 -5.81021 -4.08996 -1.44297 -0.0206491 -5.39772 -7.0893 -7.65277 0.188174 1.99008 1.40214 -3.50808 -9.30146 1.16345 -11.3569 -0.985855 8.91381 4.24403 -5.45456 -6.83252 3.6493 -10.711 -3.1051 8.36264 2.44302 -6.0059 0.553272 -2.8585 -7.56113 -5.68859 1.80997 -0.929726 -2.76365 3.18408 -6.59824 -7.21033 -4.29377 -2.83025 -1.27603 0.297936 -3.14464 -8.54456 -8.39751 1.10444 -1.21638 0.0898514 -4.69121 -7.61516
50.86 -7.08713 -7.1927 -6.07959 -4.08019 -1.53733 -0.185946 -4.90269 -7.71401 -7.43573 -0.277597 1.12924 1.02219 -3.09949 -8.86094 0.653128 -11.3191 -0.742857 8.39571 4.28474 -5.29923 -7.63201 3.71371 -10.8787 -2.83837 8.88138 2.69593 -6.22595 0.0444511 -2.14049 -7.74405 -5.74477 2.45786 -0.705344 -2.90513 3.37945 -6.23278 -7.242 -4.3657 -2.49745 -1.33977 0.22567 -2.48366 -9.09703 -8.05217 0.772725 -1.58132 -0.148185 -4.08208 -7.12236
50.91 -6.7347 -7.21773 -6.28186 -3.98678 -1.61774 -0.38736 -4.38496 -8.21948 -7.29188 -0.741735 0.329011 0.682237 -2.65936 -8.37092 0.1086 -11.2439 -0.481905 7.90575 4.28186 -5.14944 -8.31566 3.69247 -11.018 -2.58749 9.34683 2.93575 -6.36952 -0.462453 -1.22294 -8.04659 -5.68081 3.15056 -0.387045 -3.08441 3.45783 -5.86033 -7.27236 -4.42988 -2.07551 -1.37999 0.0908184 -1.75795 -9.50849 -7.8022 0.384345 -1.9425 -0.356374 -3.52018 -6.6282
50.96 -6.35922 -7.24166 -6.42908 -3.79447 -1.6825 -0.603603 -3.82915 -8.59914 -7.19955 -1.18421 -0.401117 0.379958 -2.21283 -7.84712 -0.49195 -11.1091 -0.210954 7.43767 4.22519 -5.0045 -8.88485 3.58809 -11.1299 -2.35171 9.75315 3.16392 -6.42465 -0.976174 -0.14635 -8.47159 -5.46868 3.86592 0.0263037 -3.33931 3.40205 -5.48597 -7.30219 -4.50178 -1.60595 -1.39629 -0.0877547 -0.966817 -9.79233 -7.62566 -0.0219749 -2.27841 -0.541085 -3.01864 -6.13959
51.01 -5.96294 -7.26478 -6.53177 -3.49125 -1.72919 -0.821663 -3.22305 -8.85357 -7.14336 -1.5985 -1.05466 0.111117 -1.78261 -7.30457 -1.19196 -10.8767 0.0569328 6.97597 4.09504 -4.86313 -9.34249 3.39868 -11.2165 -2.13096 10.0906 3.38083 -6.38878 -1.51462 0.884542 -8.93201 -5.13836 4.58447 0.473962 -3.69195 3.19973 -5.10814 -7.33284 -4.59879 -1.12188 -1.38916 -0.291446 -0.141926 -9.95614 -7.5027 -0.420927 -2.56576 -0.706484 -2.58171 -5.65706
51.06 -5.54995 -7.28803 -6.59839 -3.08073 -1.75494 -1.03514 -2.56763 -8.99059 -7.11318 -1.98361 -1.62585 -0.12887 -1.38594 -6.75472 -2.05543 -10.4923 0.303526 6.49769 3.86076 -4.72235 -9.69134 3.12638 -11.2813 -1.92515 10.3412 3.58588 -6.28101 -2.10981 1.73437 -9.352 -4.75985 5.2937 0.897176 -4.1168 2.86606 -4.71923 -7.36651 -4.73106 -0.63753 -1.35912 -0.506418 0.655115 -10.0042 -7.41767 -0.800392 -2.78368 -0.854922 -2.20753 -5.17537
51.11 -5.12314 -7.31321 -6.63503 -2.58985 -1.75699 -1.24138 -1.88412 -9.02447 -7.1026 -2.33896 -2.10806 -0.343984 -1.03645 -6.20374 -3.09487 -9.92768 0.500279 5.96879 3.50267 -4.57535 -9.93334 2.78421 -11.328 -1.73319 10.4713 3.77708 -6.13108 -2.80676 2.39772 -9.71386 -4.38307 5.98656 1.27819 -4.56248 2.43825 -4.30885 -7.40684 -4.89363 -0.148631 -1.30561 -0.724799 1.37465 -9.94005 -7.35911 -1.15729 -2.91377 -0.987355 -1.89096 -4.68444
51.16 -4.68177 -7.34338 -6.64499 -2.0558 -1.73303 -1.43914 -1.20596 -8.97344 -7.10661 -2.66236 -2.49227 -0.537168 -0.749426 -5.65178 -4.16933 -9.26775 0.601039 5.34262 3.05686 -4.41009 -10.069 2.39135 -11.3589 -1.5519 10.4249 3.9505 -5.96337 -3.63618 2.90206 -10.0224 -4.02829 6.65623 1.61989 -4.98595 1.95544 -3.8639 -7.45997 -5.06863 0.360314 -1.22575 -0.944127 1.99196 -9.76806 -7.31888 -1.49357 -2.93903 -1.10365 -1.62571 -4.17092
51.21 -4.21913 -7.38351 -6.62818 -1.50308 -1.68055 -1.62756 -0.562637 -8.8558 -7.12015 -2.95109 -2.76598 -0.710184 -0.545103 -5.09246 -5.14461 -8.6502 0.554449 4.58365 2.5853 -4.21181 -10.0983 1.9642 -11.3749 -1.37551 10.1549 4.09978 -5.79241 -4.57867 3.27083 -10.2855 -3.69976 7.29421 1.92992 -5.36153 1.44786 -3.36426 -7.5367 -5.23144 0.907872 -1.11278 -1.16655 2.49811 -9.49475 -7.29132 -1.81353 -2.84553 -1.20286 -1.40557 -3.62027
51.26 -3.71933 -7.44198 -6.58 -0.93418 -1.59505 -1.80663 0.0274619 -8.68603 -7.13904 -3.20376 -2.91266 -0.863606 -0.441533 -4.51256 -6.00756 -8.15134 0.342231 3.7167 2.1237 -3.96662 -10.0222 1.51273 -11.375 -1.19633 9.69823 4.21764 -5.625 -5.56024 3.52084 -10.5097 -3.39558 7.89229 2.21537 -5.6758 0.934779 -2.77557 -7.65667 -5.3535 1.50725 -0.953524 -1.39893 2.89043 -9.1291 -7.27253 -2.12249 -2.62909 -1.28352 -1.22502 -3.01993
