50.005 0.960624 0.327728 0.994433 0.0661159 0.803147 0.365317 0.0870026 0.914151 0.878675 0.0822312 0.00139927 0.273633 0.62867 0.903398 0.3011 0.97237 0.0828562 0.000592597 0.0597497 0.671338 0.84777 0.113148 0.969301 0.0962603 9.97093e-05 0.0473095 0.785845 0.615558 0.0081449 0.893395 0.461585 6.90195e-05 0.0958375 0.754345 0.426323 0.350477 0.294826 0.994743 0.000169787 0.552396 0.526661 0.0559998 0.0109536 0.94634 0.107905 3.93205e-06 0.0405939 0.716428 0.761405 0.66825 -0.0203349 0.651244 -0.0198174 0.634239 -0.0192999 0.617234 -0.0187825 0.166436 0.862092 0.161721 0.837668 0.157005 0.813244 0.176099 0.813927 0.170647 0.788726 0.165194 0.763524 0.178354 0.701008 0.172267 0.67708 0.166179 0.653152 0.446809 0.461489 0.429818 0.44394 0.412827 0.426391 0.514371 0.0975232 0.492292 0.0933371 0.470213 0.0891509 0.448134 0.0849648 0.157692 0.493508 0.14952 0.467933 0.141348 0.442359 0.133176 0.416784
50.055 0.938792 0.279894 0.998433 0.0683731 0.819618 0.348825 0.071981 0.94159 0.836409 0.102762 0.00123206 0.337313 0.607993 0.870795 0.383663 0.970884 0.0795678 0.000747517 0.0669436 0.662401 0.869532 0.151057 0.971586 0.0907358 0.000127512 0.0469659 0.776169 0.651113 0.00962421 0.912926 0.348412 7.54259e-05 0.0846297 0.776107 0.475966 0.250618 0.334165 0.994016 0.000186852 0.499354 0.505502 0.061939 0.0155149 0.954942 0.0884801 3.17484e-06 0.0361732 0.72382 0.730652 0.735826 -0.0707818 0.717102 -0.0689806 0.698377 -0.0671794 0.679652 -0.0653782 0.170076 0.815199 0.165257 0.792103 0.160439 0.769008 0.171666 0.819121 0.166351 0.793758 0.161036 0.768396 0.169904 0.714613 0.164105 0.690221 0.158306 0.665828 0.389396 0.504038 0.374588 0.484871 0.35978 0.465703 0.517026 0.0944558 0.494833 0.0904014 0.47264 0.0863469 0.450447 0.0822925 0.135931 0.492822 0.128887 0.467283 0.121843 0.441744 0.114799 0.416205
50.105 0.907631 0.241655 0.999436 0.0694453 0.831654 0.335986 0.0610229 0.958601 0.78362 0.139935 0.00109201 0.401699 0.58521 0.823366 0.479354 0.967703 0.0770736 0.000935495 0.0780957 0.653653 0.886764 0.199064 0.972916 0.0866241 0.000164813 0.0479043 0.765037 0.685376 0.0123051 0.928326 0.262069 8.34257e-05 0.0755295 0.793543 0.523032 0.170479 0.387504 0.992296 0.000209927 0.440815 0.490108 0.0736146 0.0217927 0.961779 0.0762646 2.57746e-06 0.0324409 0.73057 0.695144 0.774192 -0.111985 0.75449 -0.109135 0.734789 -0.106286 0.715088 -0.103436 0.178859 0.758165 0.173791 0.736686 0.168724 0.715206 0.168105 0.821468 0.1629 0.796033 0.157695 0.770599 0.16375 0.72589 0.15816 0.701113 0.152571 0.676336 0.333584 0.542719 0.320898 0.522081 0.308213 0.501443 0.519897 0.0984085 0.497581 0.0941844 0.475264 0.0899602 0.452948 0.0857361 0.12065 0.490318 0.114398 0.464908 0.108145 0.439499 0.101893 0.41409
50.155 0.86402 0.212633 0.99975 0.0690107 0.839317 0.327189 0.0530567 0.968667 0.721274 0.207531 0.00097047 0.462879 0.560773 0.760027 0.583215 0.962146 0.0755649 0.00114934 0.0948953 0.644851 0.899414 0.25899 0.973273 0.0835979 0.000214871 0.0504075 0.75283 0.718451 0.0165066 0.940463 0.202905 9.33891e-05 0.0681401 0.80692 0.567467 0.112871 0.451805 0.988864 0.00023738 0.382031 0.480247 0.0923319 0.0302351 0.967213 0.0683244 2.10324e-06 0.0293013 0.736725 0.655539 0.795476 -0.144525 0.775233 -0.140847 0.75499 -0.137169 0.734748 -0.133491 0.197523 0.691688 0.191927 0.672092 0.186331 0.652495 0.165216 0.820307 0.1601 0.794908 0.154985 0.769509 0.159233 0.735002 0.153798 0.709914 0.148363 0.684825 0.284903 0.577444 0.274069 0.555485 0.263235 0.533527 0.52303 0.10891 0.500579 0.104235 0.478129 0.0995605 0.455678 0.0948856 0.110088 0.486057 0.104383 0.460868 0.0986779 0.43568 0.0929729 0.410491
50.205 0.804046 0.192432 0.999867 0.0668476 0.842296 0.322914 0.047351 0.973766 0.651778 0.328239 0.000861036 0.518252 0.535409 0.682541 0.685753 0.953179 0.0754601 0.00136078 0.119472 0.635637 0.907288 0.332385 0.972525 0.0814747 0.000282047 0.0549642 0.739944 0.750162 0.0226659 0.950028 0.164057 0.000105873 0.0621657 0.816543 0.609498 0.0745444 0.522175 0.982339 0.00026722 0.327422 0.475229 0.11928 0.0413729 0.971523 0.0630726 1.72565e-06 0.0266795 0.742331 0.613196 0.807324 -0.16876 0.78678 -0.164466 0.766236 -0.160171 0.745691 -0.155877 0.23478 0.617161 0.228129 0.599676 0.221477 0.582191 0.16293 0.814742 0.157885 0.789515 0.15284 0.764289 0.155898 0.742063 0.150577 0.716734 0.145255 0.691405 0.245654 0.608298 0.236313 0.585166 0.226971 0.562034 0.526097 0.125047 0.503515 0.119679 0.480932 0.114312 0.45835 0.108944 0.102858 0.480215 0.0975279 0.45533 0.0921976 0.430444 0.0868673 0.405558
50.255 0.723431 0.180988 0.999918 0.0629564 0.839782 0.323811 0.0434423 0.974442 0.578708 0.51964 0.000759764 0.56653 0.509994 0.595753 0.775846 0.939402 0.0774853 0.00150824 0.153897 0.625539 0.909692 0.419622 0.970393 0.0801889 0.000372099 0.0623707 0.726688 0.779955 0.0313506 0.95756 0.138399 0.000121692 0.0573912 0.822749 0.649483 0.0501329 0.593166 0.970316 0.000297671 0.279479 0.474142 0.154971 0.0558354 0.974921 0.0595996 1.42561e-06 0.0245187 0.74743 0.569939 0.814405 -0.184699 0.793681 -0.179998 0.772956 -0.175298 0.752232 -0.170598 0.302793 0.536799 0.294215 0.521591 0.285636 0.506383 0.161319 0.803608 0.156325 0.778726 0.15133 0.753844 0.153433 0.747047 0.148196 0.721548 0.142959 0.696049 0.21557 0.635494 0.207372 0.611328 0.199175 0.587162 0.528336 0.145743 0.505658 0.139487 0.482979 0.133231 0.460301 0.126975 0.0979472 0.473097 0.0928714 0.44858 0.0877956 0.424063 0.0827197 0.399546
50.305 0.619167 0.17889 0.99994 0.0576176 0.830287 0.330681 0.0410918 0.969892 0.506225 0.735249 0.000664616 0.607312 0.485451 0.506086 0.846144 0.919139 0.0828425 0.00152537 0.199179 0.614024 0.905076 0.518342 0.966374 0.0798028 0.000492449 0.0738568 0.713223 0.806935 0.0432678 0.963475 0.120909 0.000141991 0.0536677 0.825897 0.687754 0.0348945 0.660137 0.949104 0.000327498 0.238895 0.476051 0.198788 0.0743793 0.977565 0.0573511 1.18951e-06 0.0227792 0.752063 0.527724 0.819509 -0.191875 0.798655 -0.186992 0.777801 -0.18211 0.756946 -0.177227 0.404565 0.453568 0.393104 0.440717 0.381642 0.427867 0.160644 0.785542 0.15567 0.761219 0.150696 0.736897 0.151635 0.749677 0.146459 0.724088 0.141284 0.698499 0.193171 0.65932 0.185826 0.634248 0.17848 0.609176 0.528494 0.16995 0.505809 0.162655 0.483124 0.15536 0.460438 0.148065 0.0946397 0.465109 0.0897352 0.441006 0.0848308 0.416903 0.0799264 0.3928
50.355 0.493439 0.18764 0.99995 0.0513284 0.811523 0.344005 0.04028 0.958698 0.438321 0.878394 0.000574754 0.640626 0.462682 0.419452 0.895822 0.890669 0.0935669 0.00142519 0.254284 0.600621 0.89108 0.621921 0.959665 0.0805554 0.000652142 0.0911751 0.699531 0.830078 0.0592727 0.968085 0.108491 0.000168319 0.0509028 0.826339 0.724461 0.0254953 0.720029 0.913875 0.000356097 0.205247 0.480118 0.248952 0.0979326 0.979569 0.0559728 1.00773e-06 0.0214377 0.756264 0.4884 0.82427 -0.18934 0.803295 -0.184522 0.782319 -0.179703 0.761344 -0.174885 0.515917 0.370815 0.501301 0.36031 0.486684 0.349804 0.161443 0.759231 0.156445 0.735723 0.151446 0.712215 0.150394 0.749359 0.145261 0.723781 0.140127 0.698202 0.176723 0.680083 0.170002 0.654222 0.163282 0.62836 0.52482 0.196691 0.502292 0.188249 0.479765 0.179806 0.457237 0.171363 0.0924404 0.456718 0.0876499 0.43305 0.0828595 0.409382 0.078069 0.385714
50.405 0.358699 0.209594 0.999951 0.0446561 0.780691 0.363483 0.0412419 0.939551 0.3781 0.943077 0.000489993 0.666658 0.442533 0.340089 0.928575 0.852572 0.113275 0.00128037 0.316022 0.585092 0.865059 0.72001 0.949098 0.0829592 0.000860912 0.116496 0.685399 0.848464 0.0803817 0.971624 0.0992914 0.000202692 0.0490576 0.824387 0.759441 0.0198362 0.771446 0.859444 0.000383451 0.17763 0.485652 0.302971 0.127657 0.981009 0.0552316 8.73567e-07 0.02049 0.760065 0.453599 0.829644 -0.17585 0.808531 -0.171375 0.787419 -0.1669 0.766307 -0.162426 0.607769 0.291788 0.59055 0.283521 0.573331 0.275255 0.164758 0.723783 0.159656 0.701373 0.154555 0.678963 0.149695 0.745175 0.144586 0.719739 0.139476 0.694304 0.164673 0.698048 0.158411 0.671503 0.152149 0.644958 0.515172 0.225037 0.493058 0.215378 0.470945 0.205718 0.448831 0.196058 0.0910094 0.448402 0.0862931 0.425164 0.0815768 0.401927 0.0768605 0.37869
50.455 0.236473 0.247132 0.999942 0.0381036 0.735742 0.388442 0.04454 0.910658 0.327449 0.970144 0.000410543 0.685561 0.425795 0.270589 0.949179 0.804161 0.148664 0.00113487 0.380008 0.567568 0.824513 0.802604 0.93315 0.0879585 0.00112586 0.151907 0.670431 0.861383 0.107799 0.974256 0.0921869 0.000247617 0.0481477 0.820291 0.792173 0.0166885 0.814281 0.781747 0.000410021 0.155038 0.492111 0.358312 0.165024 0.981921 0.0549744 7.82605e-07 0.0199554 0.763495 0.424739 0.836207 -0.150159 0.814928 -0.146337 0.793649 -0.142516 0.77237 -0.138695 0.672103 0.219292 0.653062 0.213079 0.63402 0.206866 0.172615 0.678967 0.167271 0.657944 0.161926 0.636921 0.149659 0.735969 0.144551 0.710848 0.139442 0.685727 0.155787 0.713379 0.149863 0.686251 0.143938 0.659123 0.497315 0.254107 0.475968 0.243199 0.454621 0.232292 0.433274 0.221385 0.0901146 0.440615 0.0854447 0.417781 0.0807748 0.394948 0.0761048 0.372114
