0.01 3.23755 -0.000302834 -2.08896 -0.449873 -4.14135 -0.461982 7.20152 0.23853 -27.7262 -0.596591 -27.0389 -0.526061 -0.542524 0.358348 -27.9299 -0.39893 -17.6779 -0.202849 -4.6545 0.237931 -9.64926 0.210701 -5.97362 0.433767 -12.2533 -0.136106 8.40737 0.66766 4.79528 0.634251 -16.3629 -0.300662 9.16774 0.500519 6.98341 0.42985
0.02 2.95774 -0.00839216 -2.33842 -0.439405 -4.35972 -0.45414 6.43948 0.23523 -26.893 -0.598584 -26.0612 -0.530418 -1.24095 0.35647 -27.2606 -0.405186 -17.133 -0.212043 -5.06393 0.247203 -9.52874 0.190916 -5.97667 0.421008 -11.8625 -0.132589 7.7497 0.668873 4.14752 0.637976 -15.6131 -0.296337 8.6414 0.506272 6.60917 0.43767
0.03 2.68053 -0.0155473 -2.57631 -0.429432 -4.5585 -0.447242 5.71131 0.231941 -26.0847 -0.600511 -25.1376 -0.53471 -1.89068 0.354442 -26.6026 -0.411234 -16.6204 -0.221012 -5.422 0.253931 -9.40748 0.173517 -5.9791 0.410303 -11.4916 -0.129066 7.11225 0.669991 3.53885 0.641635 -14.9076 -0.291999 8.12664 0.511944 6.24108 0.445344
0.04 2.40827 -0.0218046 -2.7993 -0.419957 -4.73496 -0.441268 5.01757 0.228672 -25.2992 -0.602381 -24.2639 -0.538936 -2.49305 0.352187 -25.9572 -0.417009 -16.1376 -0.229673 -5.73192 0.258251 -9.28577 0.158459 -5.98109 0.401611 -11.139 -0.125551 6.4942 0.671027 2.96635 0.645223 -14.2436 -0.287651 7.62436 0.517535 5.87978 0.452874
0.05 2.14282 -0.0272139 -3.00456 -0.41098 -4.88724 -0.436169 4.35855 0.225427 -24.5346 -0.604203 -23.436 -0.543097 -3.04869 0.349591 -25.3256 -0.422409 -15.6825 -0.237908 -5.99838 0.260422 -9.16377 0.145565 -5.98271 0.39476 -10.8032 -0.122056 5.89478 0.671991 2.42735 0.648731 -13.6186 -0.283294 7.13533 0.523046 5.52586 0.460264
0.06 1.88552 -0.0318391 -3.18979 -0.402502 -5.01438 -0.43187 3.73429 0.22221 -23.7892 -0.605986 -22.6506 -0.547191 -3.55747 0.346504 -24.7088 -0.42729 -15.253 -0.245559 -6.22675 0.260768 -9.04156 0.134586 -5.98396 0.389503 -10.4827 -0.118587 5.31324 0.672885 1.91937 0.652148 -13.0304 -0.278931 6.66014 0.528476 5.17981 0.467516
0.07 1.63721 -0.0357563 -3.3533 -0.394516 -5.11621 -0.428271 3.14448 0.219025 -23.0619 -0.607736 -21.9045 -0.551217 -4.01871 0.342743 -24.1076 -0.431468 -14.8472 -0.25243 -6.42243 0.259624 -8.91916 0.125251 -5.98482 0.38557 -10.1762 -0.115142 4.74886 0.673711 1.44017 0.655458 -12.477 -0.27456 6.19921 0.533824 4.842 0.47463
0.08 1.39832 -0.0390511 -3.49391 -0.387008 -5.19321 -0.425256 2.58862 0.21587 -22.3516 -0.609458 -21.1952 -0.555169 -4.4315 0.338123 -23.5229 -0.434743 -14.4637 -0.258312 -6.59039 0.257293 -8.7966 0.117311 -5.98525 0.382709 -9.88272 -0.111714 4.20095 0.67446 0.987654 0.658645 -11.9565 -0.270181 5.75279 0.539086 4.51273 0.481604
0.09 1.16889 -0.0418152 -3.61096 -0.379956 -5.24635 -0.422702 2.06598 0.212742 -21.6575 -0.611158 -20.5203 -0.559042 -4.79531 0.332489 -22.9554 -0.436941 -14.1009 -0.263025 -6.73491 0.25403 -8.67394 0.110551 -5.98522 0.380699 -9.60144 -0.10829 3.66886 0.67512 0.559889 0.661685 -11.4672 -0.265788 5.321 0.544254 4.19216 0.488434
0.1 0.948698 -0.044142 -3.70424 -0.373325 -5.27688 -0.420485 1.57572 0.209637 -20.9792 -0.612836 -19.8776 -0.56283 -5.11054 0.325771 -22.4058 -0.437964 -13.7577 -0.266465 -6.85961 0.250045 -8.55126 0.104798 -5.98471 0.37936 -9.33174 -0.10485 3.15196 0.675672 0.155102 0.664553 -11.0077 -0.261373 4.90383 0.549318 3.88044 0.495111
