0.01 0.999902 0.00276119 0.980299 0.00176313 0.864687 0.00174195 0.999998 0.00350346 3.65375e-10 0.0015229 7.26481e-10 0.001634 0.995737 0.00394766 2.98038e-10 0.00185511 8.44674e-06 0.00225606 0.792759 0.00350137 0.0252557 0.00340763 0.505629 0.00425559 0.00191292 0.00241141 0.999999 0.00537095 0.999979 0.00519539 3.14596e-05 0.00204627 1 0.00454802 0.999998 0.00423902 0.435369 0.00499922 0.68681 0.963025 0.318014 0.360005 0.59448 0.308091
0.02 0.999871 0.00273901 0.974857 0.00178165 0.837046 0.00175564 0.999996 0.00349196 8.40632e-10 0.00151987 1.93132e-09 0.00162691 0.991466 0.00394028 5.82065e-10 0.00184356 1.45656e-05 0.00223546 0.717522 0.00353387 0.0283985 0.0033411 0.504866 0.00420186 0.00282529 0.00241988 0.999999 0.00537743 0.999961 0.00521468 6.65841e-05 0.00205512 1 0.00457414 0.999997 0.00427216 0.423415 0.00521 0.703279 0.961325 0.317999 0.360409 0.594422 0.307859
0.03 0.99983 0.00271953 0.968319 0.00179948 0.808088 0.00176777 0.999992 0.00348053 1.8864e-09 0.00151695 4.86348e-09 0.00161996 0.983785 0.00393233 1.12392e-09 0.00183246 2.4319e-05 0.00221555 0.639717 0.00355764 0.0319429 0.00328366 0.504259 0.00415731 0.00408865 0.0024284 0.999998 0.00538342 0.999928 0.0052337 0.00013482 0.00206404 0.999999 0.00460003 0.999995 0.00430493 0.411228 0.0054418 0.718975 0.959538 0.317985 0.360811 0.594363 0.307628
0.04 0.999776 0.00270261 0.960715 0.00181658 0.779228 0.00177834 0.999984 0.00346921 4.13782e-09 0.00151412 1.16523e-08 0.00161314 0.970775 0.00392351 2.14295e-09 0.00182193 3.94086e-05 0.00219649 0.565671 0.00357299 0.0359286 0.00323474 0.503762 0.00412147 0.00580681 0.00243693 0.999996 0.00538897 0.999872 0.00525241 0.000261862 0.00207302 0.999999 0.0046257 0.999993 0.00433732 0.398907 0.00569492 0.73394 0.957657 0.317971 0.361212 0.594306 0.307398
0.05 0.999708 0.00268807 0.952192 0.00183293 0.751923 0.00178742 0.999968 0.00345801 8.88892e-09 0.00151137 2.66657e-08 0.00160645 0.950143 0.00391337 4.03011e-09 0.00181214 6.21204e-05 0.00217851 0.49944 0.00358072 0.040402 0.00319343 0.503357 0.00409345 0.00810542 0.00244544 0.999993 0.00539413 0.99978 0.00527077 0.000489093 0.00208205 0.999998 0.00465115 0.99999 0.00436936 0.386541 0.00596979 0.748209 0.955675 0.317957 0.361612 0.594248 0.30717
0.06 0.999623 0.0026757 0.943017 0.00184851 0.727457 0.0017951 0.999941 0.00344694 1.87307e-08 0.00150868 5.84883e-08 0.00159989 0.919729 0.00390136 7.46811e-09 0.00180333 9.54463e-05 0.00216194 0.442601 0.00358196 0.0454155 0.00315867 0.503043 0.00407208 0.011134 0.00245392 0.999988 0.00539894 0.999635 0.00528871 0.000880362 0.00209113 0.999997 0.00467636 0.999986 0.00440102 0.374211 0.00626689 0.76181 0.953585 0.317945 0.362009 0.594192 0.306943
0.07 0.999516 0.00266527 0.933568 0.0018633 0.706807 0.00180157 0.999893 0.00343602 3.87648e-08 0.00150605 1.2333e-07 0.00159348 0.878407 0.00388677 1.36239e-08 0.00179583 0.000143204 0.00214717 0.39501 0.00357788 0.0510271 0.00312942 0.502828 0.00405616 0.015067 0.00246237 0.999978 0.00540337 0.999411 0.00530616 0.00153013 0.00210027 0.999995 0.00470131 0.99998 0.0044323 0.361984 0.00658677 0.774768 0.951383 0.317933 0.362405 0.594135 0.306717
0.08 0.999386 0.00265652 0.924298 0.00187731 0.690599 0.001807 0.999813 0.00342523 7.88726e-08 0.00150346 2.50674e-07 0.0015872 0.827017 0.00386892 2.44472e-08 0.00178996 0.00021014 0.0021346 0.35566 0.00356958 0.0572989 0.00310474 0.50272 0.00404461 0.0201028 0.0024708 0.999963 0.0054074 0.999074 0.005323 0.00257236 0.00210947 0.999992 0.004726 0.999973 0.00446318 0.349922 0.00693 0.787102 0.949063 0.317921 0.3628 0.594079 0.306492
0.09 0.999227 0.00264921 0.91569 0.00189058 0.679132 0.00181161 0.999685 0.00341457 1.57886e-07 0.00150091 4.92291e-07 0.00158108 0.768672 0.00384727 4.31197e-08 0.00178604 0.00030201 0.00212459 0.323273 0.00355799 0.0642957 0.00308389 0.502728 0.00403653 0.02646 0.00247925 0.999937 0.00541095 0.99858 0.00533913 0.00418906 0.00211874 0.999988 0.00475037 0.999962 0.00449363 0.338078 0.00729719 0.798831 0.946621 0.317911 0.363193 0.594024 0.306268
0.1 0.999037 0.00264307 0.908204 0.00190313 0.672442 0.00181562 0.999486 0.00340402 3.11121e-07 0.00149839 9.36137e-07 0.00157511 0.70798 0.00382161 7.47058e-08 0.00178422 0.000425601 0.00211731 0.296613 0.00354389 0.0720825 0.00306626 0.502856 0.00403114 0.0343698 0.00248778 0.999894 0.00541392 0.997874 0.00535438 0.00661644 0.00212809 0.999982 0.00477437 0.999949 0.0045236 0.326495 0.00768898 0.809972 0.944053 0.317901 0.363584 0.593969 0.306046
