10.005 -0.743939 -0.341505 -0.972133 -0.747131 -0.966753 -0.973244 -0.729094 -0.965518 -0.316257 -0.725808 0.172567 -0.31171 0.619929 0.177283
10.055 -0.633553 -0.194463 -0.925121 -0.637251 -0.994411 -0.926928 -0.824776 -0.993894 -0.456973 -0.822059 0.0206257 -0.452708 0.493269 0.0254134
10.105 -0.508403 -0.042888 -0.856549 -0.512521 -0.998894 -0.859011 -0.901236 -0.999108 -0.58704 -0.899151 -0.131797 -0.583157 0.355113 -0.127048
10.155 -0.371403 0.109686 -0.768016 -0.375846 -0.980098 -0.771074 -0.956694 -0.981037 -0.703426 -0.955288 -0.281148 -0.700014 0.208682 -0.276549
10.205 -0.225749 0.259704 -0.661583 -0.230412 -0.93846 -0.665167 -0.989855 -0.940103 -0.803419 -0.989163 -0.423946 -0.800558 0.0573866 -0.419604
10.255 -0.0748332 0.40367 -0.539733 -0.0796078 -0.874952 -0.543758 -0.999948 -0.877261 -0.884688 -0.999985 -0.556865 -0.882445 -0.0952457 -0.552881
10.305 0.0778265 0.538228 -0.405304 0.0730512 -0.791053 -0.409677 -0.986736 -0.793973 -0.945339 -0.987503 -0.676806 -0.943766 -0.245658 -0.673273
10.355 0.228672 0.660242 -0.261429 0.224008 -0.688718 -0.266049 -0.950529 -0.692182 -0.983959 -0.952006 -0.780974 -0.983093 -0.390346 -0.777974
10.405 0.374189 0.76687 -0.111462 0.369744 -0.570333 -0.11622 -0.89217 -0.57426 -0.999648 -0.894323 -0.866941 -0.999509 -0.525937 -0.864545
10.455 0.510985 0.855626 0.0411027 0.506863 -0.438656 0.0363173 -0.813019 -0.442954 -0.99204 -0.815798 -0.932705 -0.992631 -0.64927 -0.930967
10.505 0.635873 0.924441 0.19271 0.63217 -0.296756 0.188008 -0.71492 -0.301326 -0.961312 -0.718261 -0.976731 -0.96262 -0.757472 -0.975693
10.555 0.745942 0.971712 0.339825 0.742744 -0.14794 0.335318 -0.600161 -0.152675 -0.908181 -0.603984 -0.997995 -0.910175 -0.848022 -0.99768
10.605 0.838626 0.996337 0.479022 0.836008 0.00432326 0.474812 -0.471414 -0.000465699 -0.833885 -0.475632 -0.996 -0.836519 -0.918808 -0.996417
10.655 0.911766 0.997743 0.607054 0.909789 0.156486 0.603242 -0.331681 0.151754 -0.740155 -0.336195 -0.970794 -0.743367 -0.968181 -0.971932
10.705 0.963658 0.975896 0.720939 0.962368 0.305002 0.717612 -0.184218 0.300437 -0.629176 -0.188923 -0.922963 -0.632891 -0.994991 -0.924796
10.755 0.993091 0.931306 0.818023 0.992518 0.446409 0.815259 -0.032462 0.442119 -0.503534 -0.0372481 -0.853623 -0.507666 -0.998613 -0.856107
10.805 0.999381 0.865012 0.896042 0.999538 0.577414 0.893906 0.12005 0.573497 -0.366157 0.115295 -0.764388 -0.370609 -0.978962 -0.767467
10.855 0.98238 0.778559 0.95318 0.983263 0.694961 0.951721 0.269765 0.69151 -0.220247 0.265151 -0.65734 -0.224915 -0.936496 -0.660942
10.905 0.942484 0.673961 0.988103 0.944074 0.796312 0.987355 0.413193 0.793407 -0.0692034 0.408827 -0.534973 -0.0739801 -0.872205 -0.539012
10.955 0.880624 0.553657 0.999999 0.882883 0.879106 0.99998 0.546992 0.876813 0.0834526 0.542976 -0.400137 0.0786793 -0.787587 -0.404522
11.005 0.79824 0.42045 0.988589 0.801116 0.941411 0.989299 0.668042 0.939786 0.234164 0.664471 -0.255977 0.229505 -0.684615 -0.260604
11.055 0.697254 0.277444 0.954141 0.700679 0.981778 0.955563 0.773524 0.980856 0.379418 0.77048 -0.105851 0.374982 -0.565687 -0.110612
11.105 0.580018 0.127972 0.897456 0.583913 0.999263 0.899558 0.860979 0.999068 0.515829 0.858534 0.0467417 0.511721 -0.433576 0.0419574
11.155 0.449265 -0.0244823 0.819856 0.453539 0.993461 0.822589 0.928369 0.993996 0.640219 0.926579 0.198245 0.636533 -0.291361 0.193549
11.205 0.308042 -0.176366 0.723149 0.312595 0.964506 0.726449 0.974123 0.96576 0.749689 0.97303 0.345129 0.746511 -0.142356 0.34063
11.255 0.15964 -0.324139 0.609589 0.164366 0.913074 0.613379 0.997175 0.915016 0.841687 0.996804 0.483969 0.839092 0.00996751 0.479772
11.305 0.00751726 -0.464359 0.481823 0.012306 0.840362 0.486014 0.996988 0.842948 0.91407 0.997348 0.61153 0.912117 0.162058 0.607734
11.355 -0.144781 -0.593756 0.342828 -0.14004 0.748065 0.347322 0.973566 0.751235 0.96515 0.974649 0.724839 0.963886 0.310372 0.721532
11.405 -0.293704 -0.709316 0.195843 -0.289123 0.638335 0.200537 0.927456 0.642014 0.993738 0.929236 0.821256 0.993191 0.451453 0.818515
11.455 -0.435783 -0.808345 0.0442939 -0.431468 0.513728 0.0490776 0.85973 0.517831 0.999166 0.862166 0.898534 0.99935 0.582013 0.896422
11.505 -0.567706 -0.888536 -0.108287 -0.563757 0.377149 -0.103525 0.771969 0.38158 0.981309 0.775004 0.954871 0.982219 0.699009 0.953438
11.555 -0.686399 -0.948019 -0.258345 -0.682908 0.231781 -0.253716 0.666217 0.236437 0.940582 0.669781 0.988955 0.942198 0.799714 0.988234
11.605 -0.789095 -0.985409 -0.402382 -0.786144 0.0810105 -0.397993 0.544939 0.0857828 0.877935 0.548948 0.999992 0.880218 0.881782 1
11.655 -0.873401 -0.999834 -0.537041 -0.871058 -0.0716477 -0.532995 0.410961 -0.0668702 0.794828 0.415322 0.987723 0.797725 0.9433 0.98846
11.705 -0.937352 -0.990958 -0.659185 -0.935673 -0.222636 -0.655576 0.267405 -0.217965 0.693197 0.272016 0.952436 0.696641 0.982835 0.953884
11.755 -0.979459 -0.958987 -0.765966 -0.978482 -0.368436 -0.762879 0.117618 -0.36398 0.575411 0.122372 0.894952 0.579321 0.999464 0.897078
11.805 -0.998739 -0.904667 -0.854896 -0.998487 -0.505649 -0.852402 -0.034911 -0.501512 0.444215 -0.0301246 0.816611 0.448501 0.992801 0.819366
11.855 -0.994743 -0.829264 -0.923903 -0.995222 -0.631079 -0.92206 -0.186626 -0.627357 0.302667 -0.181919 0.719239 0.307228 0.963001 0.722558
11.905 -0.967565 -0.734535 -0.971379 -0.968764 -0.741801 -0.97023 -0.333992 -0.738581 0.154065 -0.329474 0.605105 0.158795 0.910757 0.608911
11.955 -0.917838 -0.622687 -0.996216 -0.919729 -0.835235 -0.995789 -0.473573 -0.832592 0.00187293 -0.46935 0.476869 0.00666185 0.837289 0.481073
12.005 -0.846721 -0.496328 -0.997837 -0.849259 -0.909204 -0.99814 -0.602119 -0.9072 -0.150363 -0.598288 0.33752 -0.145627 0.744308 0.342024
12.055 -0.75587 -0.358401 -0.976203 -0.758997 -0.961984 -0.97723 -0.716632 -0.960665 -0.299095 -0.713283 0.190305 -0.294522 0.63398 0.195004
12.105 -0.647405 -0.212123 -0.931818 -0.651047 -0.992345 -0.933545 -0.814443 -0.991742 -0.440856 -0.811655 0.0386543 -0.436553 0.508878 0.0434393
