10.005 -0.743939 -0.341505 -0.972133 -0.747131 -0.966753 -0.973244 -0.729094 -0.965518 -0.316257 -0.725808 0.172567 -0.31171 0.619929 0.177283 -3.34159 -1.75128 -3.29316 -1.7259 -3.24474 -1.70053 -3.19632 -1.67515 -3.49214 -2.52577 -3.43842 -2.48692 -3.3847 -2.44807 -2.85901 -2.66593 -2.8129 -2.62294 -2.7668 -2.57994 -1.61786 -2.1717 -1.59044 -2.1349 -1.56302 -2.09809 -0.119886 -1.21935 -0.117746 -1.19758 -0.115605 -1.1758 1.25368 -0.0799115 1.23003 -0.0784039 1.20638 -0.0768964 1.18273 -0.0753888 2.14457 0.936937 2.10081 0.917819 2.05705 0.8987 2.01329 0.879582
10.055 -0.633553 -0.194463 -0.925121 -0.637251 -0.994411 -0.926928 -0.824776 -0.993894 -0.456973 -0.822059 0.0206257 -0.452708 0.493269 0.0254134 -3.05702 -1.36564 -3.01272 -1.34585 -2.96842 -1.32606 -2.92412 -1.30627 -3.47556 -2.31295 -3.42209 -2.27737 -3.36863 -2.24179 -3.08688 -2.65522 -3.0371 -2.6124 -2.98732 -2.56958 -2.0145 -2.34695 -1.98036 -2.30718 -1.94622 -2.2674 -0.576559 -1.52173 -0.566265 -1.49456 -0.555971 -1.46739 0.849416 -0.426098 0.833391 -0.41806 0.817367 -0.410021 0.801342 -0.401983 1.88645 0.638305 1.84795 0.62528 1.80946 0.612256 1.77097 0.599231
10.105 -0.508403 -0.042888 -0.856549 -0.512521 -0.998894 -0.859011 -0.901236 -0.999108 -0.58704 -0.899151 -0.131797 -0.583157 0.355113 -0.127048 -2.70121 -0.948166 -2.66207 -0.934426 -2.62292 -0.920686 -2.58378 -0.906946 -3.37798 -2.04622 -3.32602 -2.01474 -3.27405 -1.98326 -3.24281 -2.58263 -3.19052 -2.54098 -3.13822 -2.49933 -2.36419 -2.4675 -2.32412 -2.42569 -2.28406 -2.38387 -1.0198 -1.78866 -1.00159 -1.75672 -0.983379 -1.72478 0.425352 -0.762355 0.417328 -0.747973 0.409303 -0.733591 0.401279 -0.719209 1.58436 0.324797 1.55203 0.31817 1.5197 0.311542 1.48737 0.304915
10.155 -0.371403 0.109686 -0.768016 -0.375846 -0.980098 -0.771074 -0.956694 -0.981037 -0.703426 -0.955288 -0.281148 -0.700014 0.208682 -0.276549 -2.28245 -0.508598 -2.24937 -0.501227 -2.2163 -0.493857 -2.18322 -0.486487 -3.20168 -1.7318 -3.15243 -1.70516 -3.10318 -1.67852 -3.32317 -2.44985 -3.26958 -2.41035 -3.21598 -2.37084 -2.65879 -2.53055 -2.61373 -2.48767 -2.56867 -2.44478 -1.43927 -2.01389 -1.41357 -1.97794 -1.38787 -1.94198 -0.00862411 -1.08084 -0.00846141 -1.06045 -0.00829872 -1.04006 -0.00813602 -1.01967 1.24535 0.00372023 1.21994 0.00364432 1.19453 0.00356841 1.16912 0.0034925
10.205 -0.225749 0.259704 -0.661583 -0.230412 -0.93846 -0.665167 -0.989855 -0.940103 -0.803419 -0.989163 -0.423946 -0.800558 0.0573866 -0.419604 -1.81049 -0.0571763 -1.78426 -0.0563477 -1.75802 -0.0555191 -1.73178 -0.0546906 -2.95076 -1.37702 -2.90537 -1.35584 -2.85998 -1.33465 -3.32608 -2.25998 -3.27244 -2.22354 -3.2188 -2.18709 -2.89142 -2.53463 -2.84242 -2.49167 -2.79342 -2.44872 -1.82519 -2.1922 -1.79261 -2.15306 -1.76002 -2.11392 -0.442399 -1.37415 -0.434053 -1.34822 -0.425707 -1.3223 -0.417361 -1.29637 0.877317 -0.317444 0.859415 -0.310966 0.841513 -0.304489 0.823612 -0.298011
10.255 -0.0748332 0.40367 -0.539733 -0.0796078 -0.874952 -0.543758 -0.999948 -0.877261 -0.884688 -0.999985 -0.556865 -0.882445 -0.0952457 -0.552881 -1.29634 0.395578 -1.27756 0.389845 -1.25877 0.384113 -1.23999 0.37838 -2.63108 -0.990151 -2.5906 -0.97492 -2.55013 -0.959688 -3.25148 -2.01744 -3.19904 -1.98491 -3.1466 -1.95237 -3.05666 -2.47963 -3.00486 -2.43761 -2.95306 -2.39559 -2.16859 -2.31941 -2.12987 -2.278 -2.09115 -2.23659 -0.865865 -1.63542 -0.84953 -1.60457 -0.833195 -1.57372 -0.81686 -1.54286 0.488838 -0.631209 0.478863 -0.61833 0.468888 -0.60545 0.458914 -0.59257
10.305 0.0778265 0.538228 -0.405304 0.0730512 -0.791053 -0.409677 -0.986736 -0.793973 -0.945339 -0.987503 -0.676806 -0.943766 -0.245658 -0.673273 -0.751984 0.839113 -0.741086 0.826953 -0.730189 0.814793 -0.719292 0.802633 -2.25007 -0.580207 -2.21546 -0.571281 -2.18085 -0.562356 -3.1011 -1.72788 -3.05108 -1.70002 -3.00107 -1.67215 -3.15068 -2.36685 -3.09728 -2.32674 -3.04389 -2.28663 -2.46144 -2.39257 -2.41749 -2.34985 -2.37354 -2.30714 -1.26915 -1.85858 -1.24521 -1.82352 -1.22126 -1.78846 -1.19732 -1.7534 0.0889666 -0.930265 0.0871512 -0.911283 0.0853358 -0.892301 0.0835204 -0.873318
10.355 0.228672 0.660242 -0.261429 0.224008 -0.688718 -0.266049 -0.950529 -0.692182 -0.983959 -0.952006 -0.780974 -0.983093 -0.390346 -0.777974 -0.190098 1.26309 -0.187344 1.24479 -0.184589 1.22648 -0.181834 1.20818 -1.81663 -0.15674 -1.78869 -0.154329 -1.76074 -0.151918 -2.87844 -1.39806 -2.83202 -1.37551 -2.7856 -1.35296 -3.17126 -2.1989 -3.11752 -2.16164 -3.06377 -2.12437 -2.69693 -2.40998 -2.64877 -2.36695 -2.60062 -2.32392 -1.64286 -2.03843 -1.61187 -1.99998 -1.58087 -1.96152 -1.54988 -1.92307 -0.312978 -1.20764 -0.306592 -1.183 -0.300206 -1.15836 -0.293819 -1.13371
10.405 0.374189 0.76687 -0.111462 0.369744 -0.570333 -0.11622 -0.89217 -0.57426 -0.999648 -0.894323 -0.866941 -0.999509 -0.525937 -0.864545 0.376217 1.65763 0.370765 1.63361 0.365313 1.60959 0.359861 1.58557 -1.34086 0.270379 -1.32023 0.26622 -1.2996 0.26206 -2.58871 -1.03565 -2.54696 -1.01895 -2.50521 -1.00225 -3.11794 -1.97972 -3.0651 -1.94617 -3.01226 -1.91262 -2.86956 -2.37121 -2.81833 -2.32887 -2.76709 -2.28654 -1.97828 -2.17078 -1.94096 -2.12982 -1.90364 -2.08887 -1.86632 -2.04792 -0.707629 -1.45687 -0.69319 -1.42714 -0.678751 -1.39742 -0.664311 -1.36769
10.455 0.510985 0.855626 0.0411027 0.506863 -0.438656 0.0363173 -0.813019 -0.442954 -0.99204 -0.815798 -0.932705 -0.992631 -0.64927 -0.930967 0.933764 2.01355 0.920233 1.98437 0.906702 1.95519 0.89317 1.92601 -0.83383 0.691197 -0.821003 0.680564 -0.808177 0.669931 -2.23865 -0.649106 -2.20254 -0.638638 -2.16644 -0.62817 -2.99195 -1.71439 -2.94125 -1.68534 -2.89054 -1.65628 -2.97533 -2.27719 -2.9222 -2.23653 -2.86908 -2.19587 -2.2676 -2.25253 -2.22482 -2.21003 -2.18204 -2.16754 -2.13926 -2.12504 -1.08579 -1.67215 -1.06363 -1.63803 -1.04148 -1.60391 -1.01932 -1.56979
