0.01 -0.0262097 0.186675 0.0273162 0.234665 0.0828312 0.287818 0.136384 0.348275 0.191098 0.397063 0.248216 0.451721 0.301769 0.512172 0.356484 0.560997 0.413601 0.615623 0.467155 0.676068 0.52187 0.724936 0.578988 0.779525 0.632542 0.839965 0.687257 0.888883 0.744375 0.943427 0.795526 1.00157 0.852645 1.05284 0.907774 1.1058
0.05 -0.181224 0.738412 -0.135159 0.76327 -0.0789879 0.807844 -0.027605 0.882165 0.0239272 0.90965 0.0872263 0.960534 0.133549 1.03522 0.185436 1.06315 0.247023 1.11387 0.292539 1.18853 0.344421 1.21669 0.405692 1.26722 0.450455 1.3416 0.502647 1.37027 0.563608 1.42055 0.597533 1.48537 0.660282 1.52324 0.712649 1.56678
0.09 -0.318944 1.24886 -0.279928 1.2593 -0.217983 1.29648 -0.150278 1.37782 -0.101278 1.39134 -0.0282035 1.43808 0.0116923 1.52058 0.0616713 1.53512 0.124606 1.58159 0.159628 1.66405 0.209445 1.67907 0.270265 1.72516 0.301457 1.80684 0.352197 1.82306 0.411383 1.86863 0.424476 1.93583 0.491644 1.96521 0.537466 2.00033
0.13 -0.433379 1.72253 -0.402157 1.7247 -0.326517 1.75513 -0.221511 1.839 -0.173642 1.844 -0.0846765 1.88613 -0.0506698 1.97213 -0.00131103 1.97876 0.0599044 2.02052 0.0806551 2.10645 0.129187 2.11388 0.184177 2.15502 0.195167 2.23963 0.245251 2.24902 0.295851 2.28927 0.282607 2.35612 0.352428 2.3808 0.386772 2.40794
0.17 -0.524218 2.16322 -0.50256 2.16159 -0.404897 2.18546 -0.245971 2.269 -0.197145 2.26963 -0.085861 2.30654 -0.0575145 2.3932 -0.00701085 2.39603 0.049752 2.43248 0.0524952 2.51903 0.100589 2.52306 0.144442 2.5586 0.129105 2.64329 0.179082 2.65003 0.214361 2.68423 0.170434 2.749 0.240537 2.77209 0.258856 2.7912
0.21 -0.593816 2.57417 -0.584128 2.57217 -0.457123 2.58929 -0.234296 2.67073 -0.182013 2.67028 -0.0429406 2.70123 -0.020395 2.7867 0.0334232 2.78897 0.0834485 2.81935 0.0650893 2.90466 0.113647 2.90857 0.14164 2.93773 0.0954356 3.02066 0.145596 3.02799 0.159666 3.0553 0.0830398 3.11695 0.1506 3.141 0.149447 3.15172
0.25 -0.645383 2.95824 -0.650274 2.9586 -0.488323 2.96845 -0.198214 3.04677 -0.139881 3.04793 0.0308656 3.07207 0.0471188 3.15517 0.10667 3.1595 0.148159 3.18298 0.106461 3.26584 0.156401 3.27227 0.164659 3.29418 0.0849621 3.37421 0.135323 3.38471 0.123542 3.40422 0.0146302 3.46215 0.0765796 3.48933 0.0538074 3.49105
0.29 -0.682149 3.3179 -0.704061 3.32292 -0.503533 3.32476 -0.148333 3.3994 -0.0815251 3.40438 0.122971 3.42083 0.132174 3.50086 0.199945 3.5094 0.231582 3.52508 0.165198 3.60477 0.217407 3.61584 0.203022 3.62964 0.0890516 3.70607 0.139369 3.72177 0.0984792 3.73263 -0.0402603 3.78651 0.0129794 3.81857 -0.03234 3.81065
0.33 -0.707048 3.65535 -0.747978 3.6669 -0.50721 3.65993 -0.0933228 3.73063 -0.0159877 3.74123 0.222562 3.74917 0.223815 3.82569 0.302185 3.84015 0.323116 3.84724 0.231535 3.92332 0.286824 3.94069 0.247866 3.94562 0.100434 4.01804 0.150237 4.04048 0.0783398 4.042 -0.0862855 4.09168 -0.0447088 4.12997 -0.112476 4.11185
0.37 -0.722642 3.97244 -0.783966 3.99205 -0.503091 3.97551 -0.0397637 4.04217 0.0496535 4.05978 0.320988 4.05853 0.313374 4.13132 0.404472 4.15298 0.41427 4.15086 0.297718 4.22308 0.356797 4.24796 0.292262 4.24346 0.113439 4.31165 0.162073 4.3419 0.058504 4.33362 -0.127148 4.37904 -0.0999081 4.42451 -0.189233 4.3958
0.41 -0.731136 4.27077 -0.813514 4.29954 -0.494202 4.27287 0.00773252 4.33548 0.110225 4.36105 0.411798 4.35019 0.394505 4.41914 0.500095 4.44885 0.498717 4.43715 0.358039 4.50539 0.421491 4.5385 0.331201 4.52431 0.123962 4.58818 0.170652 4.62683 0.0357905 4.6086 -0.165621 4.64979 -0.155023 4.70292 -0.264461 4.66354
0.45 -0.734405 4.55169 -0.837774 4.59029 -0.482919 4.5532 0.0462886 4.6118 0.16228 4.64585 0.490617 4.62524 0.463021 4.69033 0.584433 4.72849 0.572162 4.70715 0.408685 4.77138 0.47696 4.81302 0.361433 4.78917 0.129309 4.8487 0.173214 4.89594 0.00826748 4.86789 -0.203645 4.9049 -0.211577 4.96583 -0.339343 4.91596
0.49 -0.734026 4.81632 -0.857647 4.86499 -0.47104 4.8175 0.0744805 4.87216 0.203865 4.91482 0.554911 4.88463 0.516626 4.94587 0.654722 4.99251 0.632105 4.96176 0.447489 5.022 0.520905 5.07211 0.381206 5.0389 0.127972 5.09414 0.168241 5.14979 -0.0249836 5.11232 -0.242464 5.14525 -0.270382 5.21378 -0.41453 5.15387
0.53 -0.731296 5.06562 -0.873852 5.12424 -0.459853 5.06666 0.09203 5.11747 0.234242 5.16852 0.603685 5.12917 0.55458 5.18663 0.709752 5.24146 0.677529 5.20176 0.473624 5.25809 0.552371 5.31629 0.389956 5.27425 0.119367 5.3253 0.155191 5.38893 -0.064119 5.34263 -0.282777 5.3716 -0.331716 5.4473 -0.49028 5.37799
0.57 -0.72725 5.30043 -0.886968 5.36857 -0.450215 5.30144 0.0994885 5.34852 0.253598 5.40748 0.637134 5.35958 0.577313 5.41338 0.749518 5.47587 0.708549 5.42786 0.487266 5.48038 0.571419 5.54612 0.387991 5.49593 0.103584 5.5429 0.134226 5.61391 -0.108772 5.55951 -0.324876 5.58466 -0.395483 5.66694 -0.566581 5.58901
0.61 -0.722685 5.52151 -0.897469 5.59852 -0.442629 5.52255 0.0979401 5.56602 0.262748 5.63227 0.656278 5.57656 0.586056 5.6268 0.774861 5.69632 0.726062 5.64073 0.489274 5.68957 0.578806 5.76217 0.37619 5.70458 0.0811513 5.74763 0.105976 5.8253 -0.158262 5.7636 -0.36878 5.78508 -0.461356 5.87329 -0.643253 5.78758
0.65 -0.718183 5.72953 -0.905738 5.81466 -0.437315 5.73066 0.0887459 5.77065 0.262879 5.84347 0.662641 5.78073 0.582501 5.82758 0.787146 5.90339 0.731438 5.84101 0.480911 5.88632 0.575708 5.96504 0.355751 5.90083 0.052846 5.94012 0.0713334 6.02374 -0.211756 5.95552 -0.414336 5.97349 -0.528886 6.06696 -0.720029 5.97431
0.69 -0.71415 5.92515 -0.912084 6.01757 -0.434288 5.92639 0.0733468 5.96305 0.255344 6.04171 0.65798 5.97271 0.568537 6.01632 0.788 6.0977 0.726263 6.02929 0.46362 6.07123 0.563495 6.15536 0.327991 6.08529 0.0195498 6.12098 0.0312987 6.20983 -0.268385 6.13587 -0.461297 6.1505 -0.597578 6.24857 -0.79661 6.14981
0.73 -0.71085 6.109 -0.916761 6.20788 -0.433417 6.11036 0.0531272 6.14384 0.2415 6.2276 0.644084 6.15312 0.546051 6.19365 0.779114 6.27989 0.712166 6.20619 0.438871 6.24492 0.543577 6.33376 0.294221 6.25855 -0.0178486 6.29083 -0.0131223 6.38424 -0.327325 6.30523 -0.509373 6.31669 -0.666948 6.41875 -0.872703 6.31465
0.77 -0.708444 6.28167 -0.919979 6.38622 -0.434487 6.28314 0.0293335 6.31361 0.222621 6.40182 0.62265 6.32253 0.516809 6.36015 0.762116 6.45061 0.690693 6.37228 0.408058 6.40797 0.517301 6.5009 0.255657 6.42119 -0.0585139 6.45023 -0.0609852 6.5476 -0.387831 6.46418 -0.558271 6.47265 -0.736549 6.57815 -0.94804 6.46941
0.81 -0.70703 6.44376 -0.921922 6.55325 -0.437246 6.44534 0.00303433 6.47295 0.199833 6.56499 0.595205 6.48151 0.482384 6.5164 0.738493 6.61049 0.663248 6.52813 0.372439 6.56095 0.485889 6.65741 0.213381 6.57378 -0.101696 6.59975 -0.111442 6.70054 -0.449263 6.61328 -0.607711 6.61891 -0.805988 6.72739 -1.02239 6.61462
0.85 -0.706675 6.59583 -0.922765 6.70959 -0.441441 6.5975 -0.0248906 6.62242 0.174098 6.71776 0.563077 6.63064 0.444131 6.66295 0.709558 6.76017 0.631058 6.6743 0.333117 6.70441 0.450419 6.80391 0.168326 6.71686 -0.146742 6.73993 -0.163753 6.84367 -0.511084 6.75307 -0.657442 6.75601 -0.874932 6.86705 -1.09555 6.75082
0.89 -0.707445 6.73843 -0.922688 6.85588 -0.446852 6.74018 -0.0537437 6.76257 0.146206 6.86074 0.52739 6.77046 0.40319 6.80035 0.676441 6.90024 0.595175 6.81133 0.291037 6.83888 0.411816 6.941 0.121276 6.85097 -0.193097 6.8713 -0.217292 6.97759 -0.572856 6.88407 -0.70724 6.88448 -0.943105 6.99773 -1.16737 6.8785
0.93 -0.709427 6.87209 -0.921895 6.99271 -0.453311 6.8739 -0.0829944 6.89392 0.116788 6.99453 0.489075 6.90149 0.360495 6.92911 0.640095 7.0313 0.55648 6.93973 0.246988 6.96488 0.370859 7.06925 0.0728812 6.97662 -0.240297 6.99436 -0.271534 7.10286 -0.634226 7.00679 -0.756914 7.0048 -1.01028 7.11996 -1.23774 6.99817
0.97 -0.712734 6.99732 -0.920615 7.12066 -0.460709 6.99918 -0.112259 7.01698 0.0863328 7.11968 0.448892 7.02424 0.316799 7.04974 0.601315 7.1539 0.515703 7.06001 0.201624 7.0829 0.328198 7.18921 0.023672 7.0943 -0.287959 7.10959 -0.326049 7.22002 -0.694917 7.12171 -0.8063 7.11746 -1.07629 7.23428 -1.30654 7.11027
1.01 -0.717505 7.11461 -0.9191 7.24028 -0.468996 7.11651 -0.141279 7.13223 0.0552087 7.23674 0.407453 7.1392 0.272698 7.1627 0.560753 7.26856 0.473445 7.17263 0.155483 7.19341 0.284368 7.3014 -0.0259235 7.20448 -0.335769 7.21747 -0.380485 7.32957 -0.754717 7.22928 -0.855264 7.22289 -1.141 7.34118 -1.37373 7.21526
1.05 -0.723886 7.22442 -0.917619 7.3521 -0.478166 7.22636 -0.169899 7.24015 0.0236888 7.34621 0.36525 7.24683 0.228656 7.26847 0.518943 7.37579 0.430192 7.27807 0.108997 7.29686 0.239805 7.4063 -0.0755639 7.30762 -0.383474 7.31842 -0.434563 7.43199 -0.813463 7.32997 -0.903691 7.32154 -1.2043 7.44113 -1.43926 7.31355
1.09 -0.732004 7.32722 -0.916429 7.45662 -0.488236 7.32918 -0.198044 7.34116 -0.00802495 7.44858 0.322673 7.34757 0.185024 7.36746 0.476317 7.47606 0.386336 7.37675 0.0625156 7.39367 0.194862 7.50439 -0.124979 7.40413 -0.43087 7.41286 -0.488058 7.52774 -0.871034 7.42417 -0.951491 7.41381 -1.26611 7.53456 -1.50309 7.40555
1.13 -0.741941 7.42341 -0.915756 7.55429 -0.499219 7.42538 -0.225699 7.43569 -0.0397786 7.54429 0.280037 7.44184 0.14206 7.4601 0.433226 7.56981 0.342191 7.46909 0.0163155 7.48425 0.149819 7.59609 -0.17396 7.49443 -0.477794 7.5012 -0.540798 7.61723 -0.927344 7.51229 -0.998589 7.50009 -1.3264 7.62189 -1.56522 7.49163
1.17 -0.753707 7.51341 -0.915774 7.64556 -0.511106 7.51538 -0.252885 7.52414 -0.0714467 7.63377 0.237596 7.53005 0.099949 7.54678 0.389951 7.65745 0.298008 7.55548 -0.0293844 7.56898 0.104899 7.6818 -0.222345 7.57889 -0.524118 7.58381 -0.592648 7.70087 -0.982333 7.5947 -1.04493 7.58074 -1.38513 7.70349 -1.62564 7.57216
1.21 -0.767229 7.5976 -0.91659 7.73084 -0.52385 7.59956 -0.279642 7.60688 -0.102918 7.71742 0.195555 7.61256 0.058814 7.62785 0.346719 7.73938 0.253987 7.63628 -0.0744135 7.64822 0.0602783 7.76192 -0.270012 7.65788 -0.569739 7.66104 -0.64351 7.77903 -1.03597 7.67176 -1.09045 7.65611 -1.44229 7.77975 -1.68436 7.64748
1.25 -0.782357 7.67633 -0.918242 7.81052 -0.537362 7.67827 -0.306015 7.68427 -0.134086 7.79561 0.154086 7.68973 0.0187311 7.70368 0.303716 7.81596 0.210283 7.71185 -0.118641 7.72232 0.0160911 7.83681 -0.316872 7.73175 -0.614577 7.73323 -0.693311 7.85206 -1.08822 7.7438 -1.13514 7.72653 -1.49786 7.85099 -1.7414 7.7179
1.29 -0.79887 7.74994 -0.920707 7.88494 -0.551516 7.75186 -0.332042 7.75664 -0.164846 7.8687 0.11333 7.7619 -0.0202593 7.77459 0.261094 7.88754 0.167024 7.78252 -0.161968 7.7916 -0.0275581 7.90679 -0.36286 7.8008 -0.658571 7.80069 -0.742001 7.92029 -1.13909 7.81113 -1.17895 7.79231 -1.55187 7.91754 -1.79678 7.78373
1.33 -0.816501 7.81877 -0.923911 7.95447 -0.566161 7.82065 -0.357751 7.82431 -0.195092 7.93701 0.0734055 7.82938 -0.058144 7.84089 0.218978 7.95444 0.124308 7.84859 -0.204322 7.85637 -0.0705899 7.97218 -0.407931 7.86536 -0.701673 7.86373 -0.789546 7.98403 -1.18857 7.87406 -1.22186 7.85373 -1.60431 7.9797 -1.85052 7.84525
1.37 -0.834955 7.8831 -0.92775 8.01941 -0.581133 7.88495 -0.383154 7.88758 -0.224724 8.00084 0.0344116 7.89248 -0.0949284 7.90287 0.177474 8.01696 0.0822188 7.91036 -0.245651 7.9169 -0.112944 8.03328 -0.452057 7.92569 -0.743848 7.92261 -0.83593 8.04357 -1.23669 7.93285 -1.26387 7.91107 -1.65522 8.03774 -1.90266 7.90274
1.41 -0.853932 7.94323 -0.932101 8.08006 -0.596268 7.94504 -0.408249 7.94672 -0.253645 8.06049 -0.00357012 7.95146 -0.130631 7.96081 0.136671 8.07538 0.0408204 7.9681 -0.285923 7.97347 -0.154576 8.09037 -0.495219 7.98208 -0.785067 7.97761 -0.881145 8.09917 -1.28345 7.98778 -1.30496 7.96458 -1.7046 8.09193 -1.95321 7.95643
1.45 -0.87314 7.99943 -0.936837 8.1367 -0.611411 8.00118 -0.433022 8.002 -0.281767 8.11623 -0.0404734 8.00658 -0.165279 8.01496 0.0966442 8.12997 0.000167357 8.02206 -0.325117 8.02632 -0.195451 8.1437 -0.53741 8.03477 -0.825314 8.02896 -0.925195 8.1511 -1.32888 8.03908 -1.34512 8.01451 -1.7525 8.14252 -2.00222 8.00658
1.49 -0.892308 8.05194 -0.941834 8.1896 -0.626421 8.05364 -0.457449 8.05367 -0.309013 8.16831 -0.0762456 8.05811 -0.198903 8.06557 0.0574578 8.18098 -0.0396959 8.07249 -0.363227 8.0757 -0.235546 8.19353 -0.578629 8.084 -0.864576 8.07691 -0.968089 8.19958 -1.373 8.08699 -1.38435 8.06108 -1.79895 8.18973 -2.04971 8.05341
1.53 -0.911194 8.101 -0.94698 8.23899 -0.641177 8.10264 -0.481497 8.10195 -0.335317 8.21696 -0.110846 8.10626 -0.231536 8.11286 0.0191667 8.22864 -0.0787326 8.11962 -0.400253 8.12183 -0.274841 8.24006 -0.618878 8.12998 -0.902847 8.12167 -1.00984 8.24484 -1.41584 8.13173 -1.42266 8.1045 -1.84397 8.23378 -2.09573 8.09711
1.57 -0.929583 8.14683 -0.95218 8.28511 -0.655581 8.14842 -0.505129 8.14706 -0.360627 8.26241 -0.144247 8.15125 -0.263213 8.15704 -0.0181832 8.27316 -0.116912 8.16366 -0.436205 8.16492 -0.313323 8.28353 -0.658165 8.17294 -0.940125 8.16344 -1.05047 8.28709 -1.45744 8.17349 -1.46003 8.14498 -1.8876 8.27487 -2.14031 8.1379
1.61 -0.947297 8.18965 -0.957351 8.32818 -0.669553 8.19118 -0.528308 8.18922 -0.384901 8.30487 -0.176427 8.19329 -0.293967 8.19833 -0.0545532 8.31476 -0.15421 8.2048 -0.471096 8.20515 -0.350984 8.32412 -0.696499 8.21305 -0.976413 8.20241 -1.09 8.32652 -1.49783 8.21247 -1.49648 8.1827 -1.92987 8.3132 -2.18349 8.17595
1.65 -0.964183 8.22964 -0.96243 8.36838 -0.683033 8.23111 -0.550992 8.2286 -0.40811 8.34452 -0.207376 8.23256 -0.323829 8.23689 -0.0899119 8.35361 -0.190605 8.24323 -0.504946 8.24272 -0.387817 8.36202 -0.733893 8.25052 -1.01172 8.23876 -1.12846 8.36332 -1.53703 8.24885 -1.53201 8.21784 -1.97083 8.34893 -2.2253 8.21144
1.69 -0.980118 8.267 -0.967366 8.40593 -0.695977 8.26841 -0.573146 8.26538 -0.430237 8.38156 -0.23709 8.26925 -0.352827 8.27291 -0.124234 8.38989 -0.226083 8.27913 -0.537777 8.2778 -0.423818 8.39742 -0.77036 8.2855 -1.04605 8.27266 -1.16587 8.39765 -1.57509 8.28278 -1.56663 8.25056 -2.01051 8.38225 -2.26578 8.24453
1.73 -0.995003 8.30189 -0.972126 8.44098 -0.708358 8.30324 -0.594733 8.29975 -0.451274 8.41615 -0.265572 8.30352 -0.38099 8.30655 -0.157499 8.42378 -0.26063 8.31266 -0.569614 8.31054 -0.458985 8.43046 -0.805914 8.31815 -1.07941 8.30428 -1.20225 8.42968 -1.61203 8.31444 -1.60035 8.28102 -2.04895 8.41329 -2.30497 8.27538
1.77 -1.00876 8.33447 -0.976684 8.4737 -0.720158 8.33577 -0.61572 8.33184 -0.471219 8.44844 -0.292829 8.33553 -0.408342 8.33797 -0.189693 8.45543 -0.294237 8.34398 -0.600481 8.3411 -0.493318 8.4613 -0.840568 8.34864 -1.11183 8.33375 -1.23764 8.45954 -1.64788 8.34397 -1.63317 8.30936 -2.08619 8.44221 -2.34291 8.30412
1.81 -1.02133 8.3649 -0.981028 8.50425 -0.731372 8.36615 -0.63608 8.36182 -0.490081 8.47861 -0.318873 8.36542 -0.434907 8.3673 -0.220806 8.48498 -0.326898 8.37322 -0.630405 8.36962 -0.526816 8.49009 -0.874338 8.37709 -1.14332 8.36121 -1.27207 8.4874 -1.68269 8.37149 -1.66511 8.33572 -2.12225 8.46915 -2.37963 8.3309
1.85 -1.03267 8.39332 -0.985153 8.53278 -0.742002 8.39452 -0.655787 8.38981 -0.507872 8.50677 -0.34372 8.39334 -0.460705 8.3947 -0.250832 8.51258 -0.358611 8.40052 -0.659414 8.39623 -0.559481 8.51696 -0.907239 8.40364 -1.17388 8.38679 -1.30555 8.51336 -1.71649 8.39715 -1.69617 8.36023 -2.15719 8.49423 -2.41517 8.35583
1.89 -1.04275 8.41985 -0.989062 8.55942 -0.752058 8.42101 -0.674821 8.41596 -0.52461 8.53306 -0.367388 8.41941 -0.485755 8.42027 -0.27977 8.53834 -0.389374 8.42602 -0.687535 8.42106 -0.591317 8.54204 -0.939286 8.42841 -1.20355 8.41062 -1.33811 8.53756 -1.7493 8.42107 -1.72638 8.383 -2.19104 8.51757 -2.44957 8.37904
1.93 -1.05154 8.44462 -0.992762 8.58429 -0.761553 8.44575 -0.693164 8.44037 -0.540316 8.55761 -0.389897 8.44374 -0.510078 8.44414 -0.307619 8.56239 -0.419187 8.44981 -0.714794 8.44421 -0.622326 8.56543 -0.970493 8.45152 -1.23234 8.43281 -1.36979 8.56012 -1.78115 8.44335 -1.75574 8.40415 -2.22382 8.53929 -2.48287 8.40064
1.97 -1.05903 8.46776 -0.996267 8.60751 -0.770505 8.46885 -0.710803 8.46316 -0.555015 8.58052 -0.411268 8.46647 -0.533688 8.46642 -0.334385 8.58484 -0.448056 8.47203 -0.741217 8.4658 -0.652512 8.58726 -1.00088 8.47308 -1.26027 8.45347 -1.40061 8.58113 -1.81208 8.4641 -1.78426 8.42379 -2.25559 8.55948 -2.5151 8.42072
2.01 -1.06521 8.48936 -0.999593 8.6292 -0.778935 8.49043 -0.727728 8.48444 -0.568733 8.60192 -0.431525 8.48768 -0.556603 8.48721 -0.360074 8.60579 -0.475983 8.49276 -0.766831 8.48594 -0.681881 8.60762 -1.03045 8.49318 -1.28735 8.47268 -1.43058 8.6007 -1.84212 8.48343 -1.81197 8.44201 -2.28637 8.57826 -2.54629 8.4394
2.05 -1.07009 8.50953 -1.00276 8.64945 -0.786867 8.51058 -0.743933 8.5043 -0.581498 8.62189 -0.450691 8.50748 -0.578837 8.50662 -0.384694 8.62534 -0.502976 8.5121 -0.791659 8.5047 -0.710438 8.6266 -1.05922 8.51193 -1.31362 8.49056 -1.45974 8.61893 -1.87129 8.50141 -1.83888 8.4589 -2.3162 8.59571 -2.57649 8.45675
2.09 -1.07365 8.52836 -1.00579 8.66837 -0.794326 8.52941 -0.759412 8.52285 -0.593339 8.64052 -0.468791 8.52596 -0.600406 8.52472 -0.408256 8.64359 -0.529043 8.53015 -0.815726 8.52219 -0.738188 8.64431 -1.08721 8.5294 -1.33909 8.50718 -1.48811 8.63589 -1.89963 8.51815 -1.86499 8.47455 -2.34511 8.61191 -2.60573 8.47287
