0.01 0.99866 0.0164529 0.998729 0.0172478 0.998798 0.0181722 0.998861 0.0192829 0.998921 0.0202275 0.998981 0.0213397 0.999034 0.0226393 0.999085 0.0237452 0.999136 0.025045 0.999181 0.0265641 0.999225 0.0278574 0.999268 0.0293745 0.999306 0.0311477 0.999343 0.0326582 0.999379 0.034426 0.99941 0.0364118 0.999443 0.0382541 0.999473 0.0402509 0.999999 0.000205407 1 0.000336158
0.05 0.998435 0.0282247 0.998506 0.0289146 0.998587 0.0301928 0.998658 0.0324466 0.998725 0.0333207 0.998803 0.0349992 0.998857 0.0376111 0.998915 0.0386351 0.99898 0.0405638 0.999025 0.0435713 0.999074 0.04476 0.999129 0.0469706 0.999167 0.0504146 0.99921 0.0518051 0.999256 0.0543316 0.999281 0.0577595 0.999325 0.0598556 0.999359 0.062353 0.999998 0.000293777 0.999999 0.000467458
0.09 0.998205 0.0461556 0.998273 0.0466175 0.998377 0.048298 0.998483 0.0521774 0.998555 0.0528499 0.998657 0.0552394 0.998709 0.0597061 0.998772 0.0605278 0.998847 0.063225 0.998887 0.068288 0.998941 0.0692502 0.999003 0.07228 0.999034 0.0779522 0.999082 0.0791264 0.999134 0.0825112 0.999146 0.0877434 0.999201 0.0901231 0.999237 0.0930449 0.999996 0.00041482 0.999998 0.00064281
0.13 0.997987 0.072104 0.998049 0.0722492 0.998191 0.0743158 0.998371 0.0802956 0.998447 0.0806652 0.998579 0.0838455 0.998626 0.0906925 0.998693 0.0912404 0.99877 0.0947626 0.998795 0.102395 0.998852 0.103081 0.998914 0.106946 0.998926 0.1153 0.998978 0.116261 0.999028 0.120462 0.999015 0.127725 0.999082 0.130501 0.999113 0.133611 0.999992 0.000578579 0.999995 0.000874471
0.17 0.997796 0.107732 0.997844 0.107575 0.998044 0.109889 0.998331 0.11833 0.99841 0.118396 0.998577 0.122304 0.998617 0.131914 0.998685 0.132239 0.998758 0.136477 0.998761 0.147002 0.998819 0.147508 0.99887 0.152034 0.998852 0.163276 0.998908 0.164199 0.998946 0.168947 0.998899 0.178236 0.998973 0.181643 0.998992 0.184502 0.999983 0.000797519 0.999989 0.00117735
0.21 0.997638 0.154052 0.997661 0.153791 0.997939 0.156032 0.99835 0.16706 0.998434 0.166998 0.998637 0.171348 0.998667 0.183825 0.998737 0.184166 0.998799 0.188775 0.998776 0.202187 0.998834 0.202818 0.998867 0.207574 0.998813 0.221546 0.998871 0.222813 0.998887 0.227577 0.998798 0.238596 0.998877 0.242994 0.998875 0.244971 0.999967 0.00108692 0.999978 0.00156939
0.25 0.997513 0.210968 0.997501 0.211029 0.997874 0.212672 0.998408 0.226081 0.998499 0.226284 0.998734 0.230539 0.998754 0.245609 0.998826 0.246413 0.998874 0.250797 0.998826 0.266687 0.998883 0.267946 0.998892 0.272265 0.9988 0.288409 0.998859 0.290568 0.998846 0.294605 0.998713 0.306785 0.99879 0.312595 0.998763 0.312966 0.99994 0.00146528 0.99996 0.00207193
0.29 0.99742 0.276991 0.997363 0.277997 0.997841 0.278366 0.998486 0.293606 0.998584 0.294639 0.998845 0.29807 0.998856 0.315079 0.998931 0.316924 0.998964 0.320329 0.998893 0.337922 0.998949 0.340404 0.998934 0.343508 0.998805 0.360944 0.998864 0.364573 0.998817 0.367093 0.998641 0.379698 0.998711 0.387278 0.998651 0.385401 0.999895 0.00195469 0.999929 0.00271004
0.33 0.997356 0.349328 0.997245 0.35196 0.997833 0.35037 0.998567 0.366629 0.998673 0.369093 0.998955 0.370943 0.998956 0.388969 0.999034 0.392411 0.999054 0.394103 0.998964 0.412407 0.99902 0.416625 0.998981 0.417822 0.998819 0.435536 0.998876 0.441061 0.998793 0.441436 0.998577 0.453718 0.998635 0.463225 0.998539 0.458721 0.999822 0.00258125 0.999877 0.00351286
0.37 0.997314 0.42436 0.997145 0.429158 0.997842 0.42511 0.998641 0.441478 0.998757 0.445823 0.999052 0.445514 0.999045 0.46356 0.999128 0.468951 0.999137 0.468423 0.99903 0.486438 0.999086 0.492655 0.999025 0.491531 0.998834 0.508576 0.998889 0.516134 0.998768 0.514067 0.998517 0.525405 0.998557 0.536726 0.998423 0.529581 0.999705 0.00337537 0.999794 0.00451385
