0.41 5.40364 5.40724 3.2321 3.2473 4.39002 8.09804 8.09083 9.17874 9.19417 9.19053 8.92914 7.99358 7.99065 7.35939 5.8794 5.88156 5.07675 3.43765 3.43962 2.64807 0.999522 0.004372 0.999661 0.00575089 0.997291 0.498358 0.997059 0.505551 0.997861 0.498884 0.998704 0.514532 0.99883 0.520916 0.999135 0.518204 0.99912 0.535392 0.999208 0.542773 0.999207 0.539869 0.999087 0.556767 0.999143 0.564922 0.999062 0.561432 0.998846 0.57709 0.998899 0.586495 0.99874 0.582066 0.998459 0.59205 0.998476 0.604818 0.9983 0.595368 0.30879 0.309389 0.302357 0.302943 0.295924 0.296497 0.28949 0.290052 0.283057 0.283606 0.276624 0.277161 0.379596 0.378925 0.370558 0.370239 0.36152 0.361538 0.350367 0.349885 0.341383 0.3409 0.3324 0.331916 0.320475 0.319888 0.311573 0.310951 0.302671 0.302017 0.29081 0.29017 0.281998 0.281347 0.273185 0.272526 0.261672 0.260945 0.252949 0.252254 0.244227 0.243563 0.23355 0.232493 0.2249 0.224127 0.21625 0.215743
0.45 5.30636 5.31092 3.29203 3.31358 4.41346 7.87747 7.86612 8.8808 8.90125 8.89758 8.64234 7.72803 7.72462 7.10817 5.66643 5.66874 4.88698 3.30029 3.30189 2.53797 0.999237 0.00561082 0.999452 0.00726636 0.997282 0.568161 0.996987 0.577605 0.997885 0.568531 0.998753 0.582845 0.99889 0.5911 0.9992 0.58611 0.999178 0.601804 0.999272 0.610913 0.999263 0.60583 0.999132 0.621058 0.999189 0.630808 0.99909 0.625237 0.998852 0.639077 0.998902 0.649901 0.998705 0.643491 0.9984 0.651936 0.998387 0.665631 0.998168 0.654442 0.310669 0.311405 0.304197 0.304918 0.297724 0.29843 0.291252 0.291942 0.28478 0.285455 0.278307 0.278967 0.369513 0.368495 0.360715 0.360256 0.351917 0.351991 0.341071 0.340337 0.332325 0.331741 0.32358 0.323138 0.311926 0.311102 0.303261 0.302539 0.294596 0.29397 0.283019 0.28216 0.274443 0.273699 0.265867 0.265232 0.254662 0.253735 0.246173 0.245395 0.237684 0.237046 0.227334 0.22611 0.218914 0.218089 0.210494 0.210041
0.49 5.16592 5.1715 3.33469 3.36435 4.41008 7.58725 7.57023 8.49844 8.52524 8.52155 8.27643 7.39598 7.39229 6.7986 5.41221 5.41459 4.66421 3.14481 3.14583 2.41544 0.998799 0.00713613 0.999126 0.00910692 0.997283 0.631576 0.996927 0.642827 0.99791 0.63185 0.998788 0.644472 0.998935 0.654184 0.99925 0.647323 0.999221 0.661174 0.999321 0.671543 0.999306 0.664724 0.999165 0.678014 0.999224 0.688854 0.999108 0.681692 0.998851 0.693557 0.998896 0.705257 0.998661 0.697406 0.998337 0.704311 0.99829 0.718379 0.998025 0.706102 0.312157 0.313057 0.305653 0.306535 0.29915 0.300013 0.292647 0.293491 0.286144 0.286969 0.27964 0.280447 0.358857 0.357482 0.350313 0.349704 0.341769 0.341891 0.331323 0.330334 0.322828 0.322146 0.314332 0.313943 0.303064 0.302011 0.294645 0.293832 0.286227 0.285642 0.275037 0.273973 0.266703 0.265879 0.258368 0.257772 0.247556 0.246451 0.239304 0.238458 0.231053 0.23045 0.221077 0.219718 0.212889 0.212028 0.204701 0.204303
0.53 5.00385 5.01043 3.36603 3.4054 4.39132 7.26382 7.23978 8.07604 8.11049 8.10668 7.87435 7.03547 7.03174 6.46547 5.14381 5.1462 4.43139 2.98594 2.98623 2.29152 0.998134 0.00899664 0.998627 0.011323 0.997291 0.687463 0.996877 0.699917 0.997933 0.687685 0.998809 0.698493 0.998967 0.709133 0.999286 0.70095 0.99925 0.712856 0.999357 0.723946 0.999336 0.715941 0.999186 0.727256 0.999248 0.738648 0.999116 0.730451 0.998841 0.740382 0.998882 0.752426 0.998608 0.743701 0.998268 0.749184 0.998182 0.763137 0.99787 0.750382 0.313432 0.314527 0.306903 0.307974 0.300373 0.301421 0.293843 0.294869 0.287313 0.288316 0.280783 0.281764 0.34827 0.346564 0.339978 0.339227 0.331686 0.331846 0.321698 0.320479 0.313449 0.312685 0.3052 0.304869 0.294391 0.293141 0.286214 0.285331 0.278036 0.277502 0.267298 0.266064 0.259198 0.258315 0.251098 0.250547 0.240723 0.239478 0.232699 0.231807 0.224675 0.224114 0.215092 0.213639 0.207125 0.206246 0.199159 0.198813
0.57 4.83664 4.84421 3.39047 3.44086 4.36578 6.93526 6.90308 7.64798 7.69111 7.68699 7.46882 6.67491 6.6714 6.13441 4.88054 4.88292 4.2046 2.8336 2.83304 2.1735 0.997135 0.0112448 0.997868 0.013968 0.997302 0.735575 0.996836 0.748614 0.997953 0.73577 0.998818 0.744821 0.998986 0.755865 0.999309 0.746919 0.999267 0.756951 0.999382 0.768264 0.999357 0.759606 0.999197 0.769066 0.999262 0.780535 0.999114 0.771815 0.998823 0.779982 0.998858 0.791925 0.998544 0.782819 0.998194 0.787065 0.998062 0.800529 0.997701 0.787793 0.314615 0.315938 0.30806 0.309356 0.301506 0.302774 0.294951 0.296192 0.288397 0.28961 0.281842 0.283028 0.338206 0.336225 0.330153 0.329283 0.322101 0.322289 0.312591 0.311191 0.304576 0.303754 0.29656 0.296289 0.286246 0.284847 0.278295 0.277368 0.270343 0.269864 0.260082 0.258726 0.2522 0.251284 0.244319 0.243817 0.234394 0.233053 0.22658 0.225664 0.218767 0.218249 0.209568 0.208064 0.201807 0.200926 0.194045 0.193743
0.61 4.67593 4.68446 3.41124 3.47367 4.33958 6.62126 6.58017 7.2384 7.29088 7.28616 7.08247 6.3335 6.33044 5.82246 4.63477 4.63714 3.99396 2.6937 2.69224 2.06561 0.995655 0.0139358 0.996732 0.0170967 0.997314 0.776288 0.996803 0.789379 0.997969 0.77647 0.998816 0.783924 0.998996 0.794935 0.999322 0.785703 0.999273 0.794042 0.999398 0.805179 0.999368 0.796311 0.999199 0.804118 0.999268 0.815302 0.999103 0.806471 0.998796 0.813101 0.998825 0.82462 0.998471 0.815517 0.998113 0.818726 0.99793 0.831452 0.997519 0.819097 0.315777 0.317373 0.309199 0.310761 0.30262 0.304149 0.296041 0.297537 0.289463 0.290925 0.282884 0.284313 0.328949 0.326767 0.321117 0.320159 0.313284 0.313493 0.304246 0.302722 0.296445 0.295593 0.288643 0.288431 0.278825 0.277332 0.27108 0.270137 0.263335 0.262913 0.253546 0.252119 0.245863 0.244937 0.23818 0.237727 0.228689 0.2273 0.221066 0.220148 0.213443 0.212967 0.204604 0.203087 0.197026 0.196157 0.189448 0.189181
0.65 4.52901 4.53849 3.43057 3.50587 4.31682 6.33405 6.28352 6.86223 6.9244 6.9187 6.72899 6.02256 6.02015 5.53946 4.41327 4.41568 3.80484 2.56912 2.56675 1.96984 0.993494 0.0171258 0.995056 0.0207632 0.997326 0.810335 0.996776 0.823074 0.997979 0.810509 0.998805 0.816575 0.998996 0.827232 0.999326 0.818079 0.99927 0.824948 0.999405 0.835628 0.999371 0.826879 0.999192 0.833269 0.999265 0.843922 0.999085 0.835276 0.998761 0.84061 0.998784 0.851498 0.998387 0.842664 0.998025 0.845032 0.997786 0.856881 0.997321 0.845139 0.316962 0.318878 0.310359 0.312235 0.303755 0.305592 0.297152 0.298948 0.290549 0.292305 0.283945 0.285662 0.320648 0.318342 0.313013 0.312002 0.305379 0.305602 0.296784 0.295194 0.289174 0.28832 0.281564 0.281409 0.272221 0.270687 0.264659 0.263725 0.257097 0.256731 0.247755 0.246304 0.240248 0.239335 0.23274 0.232335 0.223654 0.222258 0.216199 0.215297 0.208744 0.208305 0.200229 0.198732 0.192813 0.191966 0.185397 0.185154
0.69 4.39965 4.41011 3.44985 3.53882 4.29992 6.0798 6.01947 6.52684 6.5989 6.59175 6.41506 5.74729 5.74573 5.28974 4.21868 4.2212 3.63919 2.46063 2.45738 1.88659 0.990393 0.0208691 0.992624 0.0250176 0.997337 0.838595 0.996756 0.850716 0.997986 0.838763 0.998786 0.84366 0.998988 0.853756 0.999323 0.84493 0.99926 0.850558 0.999406 0.860609 0.999368 0.852199 0.999178 0.857404 0.999256 0.867383 0.999059 0.859114 0.99872 0.863379 0.998734 0.873525 0.998293 0.865125 0.997931 0.866824 0.997629 0.877743 0.997108 0.866744 0.318182 0.320477 0.311553 0.3138 0.304924 0.307123 0.298295 0.300447 0.291667 0.29377 0.285038 0.287094 0.313349 0.310989 0.305888 0.304855 0.298428 0.298659 0.290235 0.288632 0.282793 0.281959 0.275351 0.275248 0.266445 0.264916 0.259043 0.258139 0.251642 0.251329 0.242709 0.241273 0.235354 0.234472 0.228 0.227639 0.219278 0.217907 0.211969 0.211096 0.204659 0.204254 0.19643 0.194975 0.189154 0.188334 0.181879 0.181649
0.73 4.28903 4.30053 3.46971 3.57327 4.29003 5.86032 5.78986 6.2342 6.3163 6.30714 6.14225 5.50862 5.50806 5.07384 4.05089 4.05361 3.49668 2.36765 2.3636 1.81533 0.98603 0.025215 0.989167 0.0299012 0.997345 0.861959 0.996741 0.873309 0.997987 0.862121 0.998762 0.866053 0.998974 0.875476 0.999314 0.867125 0.999243 0.871726 0.9994 0.881065 0.999359 0.873122 0.999158 0.877351 0.999241 0.886595 0.999027 0.87881 0.998671 0.882206 0.998677 0.891572 0.99819 0.883695 0.997829 0.884868 0.997459 0.894864 0.996881 0.884659 0.319423 0.322164 0.312768 0.315453 0.306114 0.308741 0.299459 0.302029 0.292805 0.295317 0.28615 0.288606 0.307026 0.304671 0.299716 0.298688 0.292406 0.292643 0.284568 0.282996 0.277272 0.276478 0.269975 0.269921 0.261461 0.259973 0.254198 0.253339 0.246936 0.246671 0.238367 0.236975 0.231143 0.230303 0.22392 0.223599 0.215518 0.214197 0.208334 0.2075 0.20115 0.200772 0.193165 0.19177 0.186011 0.18522 0.178857 0.178629
0.77 4.19649 4.20919 3.49006 3.60941 4.28723 5.67449 5.59348 5.98266 6.07505 6.06327 5.9089 5.30478 5.30538 4.88996 3.90811 3.91117 3.37567 2.28886 2.28409 1.75499 0.980024 0.0302023 0.984358 0.0354405 0.997352 0.881251 0.99673 0.891764 0.997985 0.881405 0.998732 0.884553 0.998955 0.89326 0.999299 0.88546 0.999221 0.889221 0.99939 0.897823 0.999345 0.890411 0.999131 0.893845 0.999221 0.902346 0.998989 0.895093 0.998616 0.897789 0.998612 0.906384 0.998077 0.899062 0.99772 0.899827 0.997277 0.908944 0.996637 0.899535 0.320648 0.323913 0.313968 0.317165 0.307288 0.310417 0.300607 0.303669 0.293927 0.29692 0.287247 0.290172 0.301611 0.299307 0.29443 0.293428 0.287249 0.287489 0.279718 0.278207 0.272546 0.271803 0.265373 0.265362 0.257204 0.255783 0.250059 0.249254 0.242914 0.242693 0.234663 0.233338 0.227552 0.226762 0.220441 0.220155 0.212315 0.211059 0.205238 0.204446 0.19816 0.197804 0.190382 0.189053 0.183331 0.182569 0.17628 0.176045
