0 0.720881 0.636862 -0.744902 -0.717475 5.40631 5.14235 0.51892 1.41263 3.1699 3.47322 1.93294 4.84426
1 0.720881 0.636862 -0.744902 -0.717475 5.40631 5.14235 0.51892 1.41263 3.31359 3.55244 1.78914 4.71941
2 0.720881 0.636862 -0.744902 -0.717475 5.40631 5.14235 0.51892 1.41263 3.19124 3.3427 1.60548 4.52878
3 0.942989 -0.735136 -0.741188 -0.531405 6.10408 0.832096 0.526329 2.34297 3.42028 3.48121 1.4728 4.26032
4 0.942989 -0.735136 -0.741188 -0.531405 6.10408 0.832096 0.526329 2.34297 3.34961 3.32379 1.23769 3.97852
5 0.942989 0.792235 -0.741188 -0.531405 6.10408 5.63047 0.526329 2.34297 3.49969 3.22238 1.15036 3.91743
6 0.942989 0.792235 -0.741188 -0.531405 6.10408 5.63047 0.526329 2.34297 4.03812 3.33465 1.19469 3.82107
7 0.950366 -0.735136 -0.741188 -0.531405 6.12725 0.832096 0.526329 2.34297 4.16366 3.41292 1.16133 3.71296
8 0.950366 -0.735136 -0.741188 -0.531405 6.12725 0.832096 0.526329 2.34297 4.25928 3.57742 0.944245 3.51071
9 0.950366 -0.735136 -0.741188 -0.531405 6.12725 0.832096 0.526329 2.34297 4.51674 3.61188 0.885581 3.63651
10 0.949313 -0.719701 -0.746355 -0.517315 6.12395 0.880586 0.516021 2.41342 4.39694 3.2102 0.772648 3.31267
